id	path	git_blob	sha256	role	affirmative_authority
S01	CURRENT_SCIENTIFIC_PREMISES.md	1a25dc1d354e0065c527374767f11aa9d06d62de	63fe502793db25c9ddbf078c393fecc449d43648984d63504b49a4b9fbe72491	current premise narrative	YES
S02	CURRENT_SCIENTIFIC_PREMISES.tsv	f923b077483c2d2ab5fde2697a6e63649d027dc6	69342e40bc69cb89022efa8a3c68db63214040e3efe0f001278d995cd4c7ec0f	current machine premise registry	YES
S03	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	776220ebee57c9a55e82db8cf1dc832d951be0d6	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea	carrier fiber section and stability boundary	YES
S04	native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	116641cefac6533b3043e268840ee1518738dc4f	de154fbb7787759864786c04186a26a4605c447d362112bb482acee064d457e4	carrier topology statuses	YES
S05	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_LOOP_CLOSURE_MATTER_MAP.md	607146d9ac47aef6720be935a22725f87e96f439	bf1a57da51d4be00f8229a594d5e4d25c5baa0bb5eb81a2dc032f271e203a469	historical candidate framing only	NO_REQUIRES_CURRENT_REDERIVATION
S06	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_LOOP_CLOSURE_MATTER_DERIVATION_RESULTS.md	c0053a60fcb39aaa0c910f8666c1b0df039ef5f3	c456aa3853f709abcfe76e38744b7a4bc875fed0902de4b4801039aa95d19139	historical candidate and countermodel only	NO_REQUIRES_CURRENT_REDERIVATION
S07	angular_derivative_weight_selector_2026-07-20/AUDIT_REPORT.md	ddd5b965f7c637bf558005bf07f97cb5afeb93c4	26d5b09bbfac932c3982d6c1bc44e53ff6e9c901f5ae533b86f496bb6649de50	derivative weight and coefficient nonselection	YES_WITH_CURRENT_CSN_REGRADING
S08	angular_derivative_weight_selector_2026-07-20/STATUS_LEDGER.tsv	f99f808a46a78280cfb12031de3d58693afd551f	7610f0eef3b5f05bead9e5c969317dbfd3db1d57bd3348d7d7346e298403f37b	derivative-weight statuses	YES_WITH_CURRENT_CSN_REGRADING
S09	udt_complete_metric_intrinsic_object_audit_2026-07-23/AUDIT_REPORT.md	43bc88afd8cabc055422d958490eadc2a18cad42	923e6e4e7d9b6478f8b281f7d48f4fd46cd194c292a01540c46509ee6fc89776	intrinsic bundle and dphi reduction	YES
S10	udt_complete_metric_intrinsic_object_audit_2026-07-23/BUNDLE_DEPENDENCY_MATRIX.tsv	dc17356e13bf77b2c8dca070ef1a4927f32a6ed8	218bd29f0ff2ba02799bdbdb3900fd299ea58b54d02e8c2a88e2b4a5104e38bc	bundle section connection dependency types	YES
S11	udt_hopf_transport_bootstrap_dependency_audit_2026-07-23/AUDIT_REPORT.md	6a6048f343afe05a8af5d972b639e31a0602f191	83fa497f31e24817be11eabe6aa4a0d4fc8b308a6f857c7cf2267fdef3b72400	topology transport action bootstrap separation	YES
S12	udt_hopf_transport_bootstrap_dependency_audit_2026-07-23/STATUS_LEDGER.tsv	49c6c655b9f63219802e6ce92aa233f67b562e0f	b9fbd3b4e8a507d6148b9df094efe432b685d7b1912f3c34a9445ff61045a7c7	topology transport statuses	YES
S13	udt_coframe_hopf_bridge_audit_2026-07-23/AUDIT_REPORT.md	226bd5d784f3179c3c1e3b0bec8ffc176d4d0a89	6c0260a8539fd80f9191ed6a7948b5b84ab75d25af5af2955b7275e880f8e2a1	coframe character Hopf crosswalk	YES
S14	udt_coframe_hopf_bridge_audit_2026-07-23/BRIDGE_DEPENDENCY_MATRIX.tsv	56dcbeb25faf1fe701435ea700cb64f2ad443c48	81424f5f807ed980bae2c280c814beae3d8ffd7e1689c53ad50fa631a2bd8783	bridge dependency types	YES
S15	udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md	deefa2dd350e892a0fd80fa90b7835df792f1ad9	61c0f3301d3b9f1105611efc23d81a8c58cb96f855745757dafaba29c8aba0cd	matter-as-relational-closure architecture	YES
S16	udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv	a77c5ef6e6a5cb77ced5c7a49cfc7dfdcddb59d4	54f055a4800e0650e17f2a5ec842ed3a7b97fd13ef6b7a124d0c29a640c6e4dd	closure and downstream-action statuses	YES
