stratum_id	outcome	status
S01	noncommuting_for_lambda_not_1	DERIVED_GENERIC
S02	commuting_for_parallel_projectors	DERIVED_EXCEPTION
S03	commuting_for_orthogonal_projectors	DERIVED_EXCEPTION
S04	identity_first_map	DERIVED_EXCEPTION
S05	identity_second_map	DERIVED_EXCEPTION
S06	direction_independent_spatially_isotropic_map	DERIVED_EXCEPTIONAL_LAMBDA
S07	nonidentity_generic_group_loop	DERIVED_COMMON_FRAME
S08	nonidentity_generic_group_loop	DERIVED_COMMON_FRAME
S09	nonidentity_generic_group_loop	DERIVED_COMMON_FRAME
S10	noncommuting_noncollinear_observer_maps	DERIVED_OBSTRUCTION
S11	commuting_same_timelike_line	DERIVED_EXCEPTION
S12	exact_triangle_and_reversal_for_all_lambda	DERIVED_GIVEN_ENDPOINT_FRAMES
S13	explicit_middle_frame_mismatch	DERIVED_GAP
S14	dilation_operator_commutes_with_spatial_rotation_but_transition_remains	DERIVED_LIMITED_EXCEPTION
S15	dilation_operator_sensitive_to_spatial_frame_mismatch	DERIVED_GENERIC
S16	local_result_not_promoted_across_multiple_paths_or_cut_locus	OPEN_GLOBAL
