catch_id	corruption	expected	result
C01	missing_registered_route	REJECT	PASS
C02	duplicate_registered_route	REJECT	PASS
C03	missing_registered_stratum	REJECT	PASS
C04	nonidentity_loop_called_automatic_inconsistency	REJECT	PASS
C05	lambda_one_called_unconditional	REJECT	PASS
C06	endpoint_groupoid_called_lambda_selector	REJECT	PASS
C07	pair_dependent_middle_transition_cancelled	REJECT	PASS
C08	fixed_observer_result_promoted_to_changing_observers	REJECT	PASS
C09	exceptional_direction_or_depth_stratum_removed	REJECT	PASS
C10	local_algebra_promoted_to_global_descent	REJECT	PASS
C11	scalar_anchor_called_directional_selector	REJECT	PASS
C12	action_carrier_source_or_bootstrap_imported	REJECT	PASS
C13	production_exact_check_corrupted	REJECT	PASS
C14	independent_check_corrupted	REJECT	PASS
C15	source_identity_corrupted	REJECT	PASS
