id	object	status	exact_scope_or_premises	what_is_not_claimed
S01	abstract_phi_pair_composition	DERIVED	additive_founded_phi_character	physical observer or path law
S02	finite_directional_exponential	DERIVED_GIVEN_u_n_lambda	positive depth factor and ordered observer direction pair	native selection of u n or lambda
S03	common_frame_commutator	DERIVED	fixed_u_and_two_supplied_spatial_directions	physical loop curvature or dynamics
S04	lambda_one_selection	UNIQUE_CONDITIONAL	universal_generic_flat_endpoint_only_path_independence_in_one_common_frame	unconditional UDT selector
S05	proper_endpoint_groupoid	DERIVED_GIVEN_ENDPOINT_SECTION	one_full_coframe_per_endpoint_and_additive_character	derivation of that section
S06	lambda_selection_from_groupoid	NOT_DERIVED	endpoint_factorization_composes_for_every_lambda	lambda one rejected or selected
S07	pair_dependent_frame_join	OPEN_TRANSITION_OR_CONNECTION	middle_mismatch_exposed_exactly	mismatch set to identity
S08	lambda_one_spatial_effect	DERIVED_FIXED_OBSERVER_ONLY	commutes_with_spatial_rotations	middle transition erased or arbitrary observers solved
S09	changing_observer_triangle	OPEN	noncollinear_observer_maps_noncommute_even_at_lambda_one	failure of local Lorentz reciprocity
S10	holonomy_interpretation	OPEN_NOT_INCONSISTENCY_BY_ITSELF	complete_metric_connection_and_path_required	flatness or physical curvature selected
S11	finite_cell_global_descent	OPEN	local algebra plus conditional source capability	complete branch cover or cut locus selected
S12	scalar_anchors	NO_DIRECTIONAL_SELECTOR	c_E_G_obs_and_provisional_hbar_are_scalars	hbar activated or scale closure
S13	smallest_missing_object	ENDPOINT_SOLDER_OR_CONNECTION_SECTION	must relate_pair_specific_frames_along_typed_paths	native object derived
S14	action_carrier_source_density_boundary	OPEN_UNCHANGED	excluded_from_bounded_audit	any physics closure
S15	overall	VERIFIED_WITH_CAVEATS	32_exact_17_independent_and_fail_closed_source_audit_no_fresh_external_model	unconditional_lambda_or_native_composition_law
