path	positive_capability	limitation_for_this_audit
CURRENT_SCIENTIFIC_PREMISES.md	precedence_and_foundational_phi_identity	complete_4D_extension_and_transport_open
CURRENT_SCIENTIFIC_PREMISES.tsv	exact_current_status_rows_G01_G02_G06_G08_G12_G14_G16	no_endpoint_section_connection_or_complete_action
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	additive_reciprocal_pair_character_and_pairwise_composition	profile_complete_extension_and_physical_assignment_open
udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26/AUDIT_REPORT.md	complete_local_lambda_family_and_fixed_observer_direction_algebra	lambda_unselected_and_global_transport_open
udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26/DERIVATION_RESULT.json	exact_parent_counts_commutator_and_exceptional_lambda	local_algebra_only
udt_observer_pair_clock_operator_audit_2026-07-24/AUDIT_REPORT.md	conditional_ordered_pair_clock_operator	observer_path_assignment_open
udt_observer_longitudinal_transverse_cocycle_audit_2026-07-24/AUDIT_REPORT.md	metric_path_Jacobi_cocycle_and_endpoint_clock_ratio	common_path_and_irreducible_solder_open
udt_native_coframe_composition_law_audit_2026-07-23/AUDIT_REPORT.md	exact_chart_group_closure	chosen_trivialization_does_not_descend_to_physical_metric_quotient
udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md	Z2_graded_reciprocal_transition_algebra	cover_soldering_and_global_class_open
udt_two_observer_separation_selector_audit_2026-07-24/AUDIT_REPORT.md	conditional_temporal_phi_distance_family	no_universal_observer_separation_or_path_selector
udt_directional_observer_pair_distance_audit_2026-07-24/AUDIT_REPORT.md	centerless_pair_distance_schema_on_conditional_complete_spatial_branch	no_complete_clock_soldered_nonround_physical_branch
udt_metric_pure_frame_rederivation_2026-07-23/AUDIT_REPORT.md	local_frame_reciprocity_and_nonabelian_angular_rotation	phi_to_observer_rapidity_join_open
udt_frame_bivector_equivariance_audit_2026-07-23/AUDIT_REPORT.md	conditional_3plus3_frame_algebra_and_nonabelian_observer_group	no_scalar_character_for_full_observer_group
udt_finite_cell_completion_atlas_2026-07-21/AUDIT_REPORT.md	twelve_complete_cell_types	zero_selected_complete_physical_branch
udt_finite_cell_cartan_transport_atlas_2026-07-23/AUDIT_REPORT.md	conditional_connection_blocks_and_Kato_transport_on_nonnul_regions	causal_history_complete_branch_and_physical_connection_open
udt_reciprocal_seam_descent_audit_2026-07-23/AUDIT_REPORT.md	exact_value_character_descent_under_supplied_normalizer_cocycle	cover_angular_solder_metric_jets_and_connection_open
udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv	typed_path_clock_and_transverse_cocycles; response_gap	off_shell_response_action_source_and_complete_closure_open
