id	claim_to_test	falsifier	maximum_if_passed
F01	abstract_reciprocal_pair_is_an_additive_cocycle	failure_of_P_BC_P_AB_equals_P_AC	abstract_pair_composition_only
F02	common_frame_finite_commutator_has_complete_factorization	unfactored_term_or_missing_zero_stratum	conditional_flat_route_classification
F03	universal_generic_common_frame_path_independence_restricts_lambda	generic_nonlambda1_commuting_witness	conditional_lambda_ruling_only
F04	endpoint_factorized_typed_groupoid_composes_for_all_lambda	valid_lambda_or_frame_counterexample	groupoid_nonselection_ruling
F05	pair_dependent_frames_leave_an_explicit_middle_mismatch	generic_automatic_cancellation	section_or_transition_gap
F06	lambda1_removes_spatial_direction_mismatch_for_fixed_u_only	spatial_rotation_noncommutation_or_changing_u_commutation	bounded_exceptional_status
F07	nonidentity_loops_are_not_by_themselves_inconsistency	current_theory_requires_flat_path_independence	holonomy_caveat
F08	scalar_anchors_do_not_supply_frame_or_connection_rank	typed_selector_from_current_scalar_premises	scale_shape_separation
F09	all_routes_and_strata_are_covered	missing_or_duplicate_registered_row	bounded_atlas_completeness
F10	global_descent_remains_separate_from_local_algebra	current_source_derives_unique_global_section_and_transport	global_authority_ruling
