premise_id	premise	status	use	not_supplied
P01	founded_phi_reciprocal_character	pinned_by_THEORY	clock_ruler_weights	physical_profile
P02	copresence	WORKING_INTERPRETIVE_FRAME	carried_only	operational_access
P03	metric_causal_structure	DERIVED_CONDITIONAL	Lorentz_stabilizers	matter_response
P04	instantaneous_operational_access	NOT_DERIVED	excluded	signalling_theorem
P05	complete_whole_solution_law	OPEN	excluded	on_shell_selection
P06	stationary_twisted_S3_coframe	free_and_explored_family	exact_condition_map	physical_solution
P07	phi	free_and_explored_smooth_stationary	all_first_derivatives_symbolic	field_equation
P08	lambda	free_and_explored_symbolic_strata	generic_plus_minus_one	selector
P09	twist_a	free_and_explored_constant_on_off	regular_restriction_and_ruler_selector	dynamical_twist
P10	kappa_minus_two	pinned_by_parent_S3_Maurer_Cartan	contact_angular_geometry	other_topology
P11	X_lambda	pinned_by_parent_reciprocal_screen_lift	parallelism_test	physical_selection
P12	Levi_Civita_connection	pinned_by_metric_geometry	holonomy_reduction	action_or_matter_connection
P13	regular_finite_exponentials	pinned_by_non_degenerate_metric	B_C_nonzero	singular_completion
P14	completeness_R_times_S3	pinned_by_tested_global_family	global_witness	other_cells
P15	action_source_carrier_boundary_density_bootstrap_mass_Xmax_dynamics	OPEN_OR_CONDITIONAL	excluded	complete_physics
