catch_id	result	corruption_or_overclaim
F01	PASS	premise_stamp_deleted_or_promoted
F02	PASS	generic_or_exceptional_lambda_stratum_omitted
F03	PASS	connection_block_silently_omitted
F04	PASS	curvature_centralization_substituted_for_nablaX_parallelism
F05	PASS	B_or_C_zero_admitted_on_regular_S3
F06	PASS	a_zero_called_metric_degeneracy
F07	PASS	a_zero_ruler_selector_loss_hidden
F08	PASS	phi_constant_conclusion_without_global_integrability
F09	PASS	pointwise_solution_called_complete_branch
F10	PASS	incomplete_or_rank_lost_metric_admitted
F11	PASS	symbolic_identity_not_zero
F12	PASS	independent_Koszul_case_missing
F13	PASS	coordinate_curvature_holdout_missing_or_over_tolerance
F14	PASS	round_spatial_degeneracy_hidden
F15	PASS	accidental_curvature_only_case_called_endpoint_closure
F16	PASS	path_groupoid_invalidated_by_nonparallel_result
F17	PASS	one_surviving_stabilizer_selects_lambda
F18	PASS	regular_family_result_called_all_UDT_metrics
F19	PASS	off_shell_complete_metric_called_physical_solution
F20	PASS	seam_quotient_or_inversion_inferred
F21	PASS	action_source_or_carrier_inferred
F22	PASS	density_bootstrap_mass_or_Xmax_inferred
F23	PASS	dynamics_signalling_or_observation_fit_inferred
F24	PASS	copresence_or_operational_access_promoted
