claim	status	scope	remaining_open
generic_parallelism_conditions	DERIVED	stationary_regular_twisted_S3_coframe_lambda_not_plus_minus_one	other_coframes_topologies_and_time_dependence
generic_regular_parallel_survivor	DERIVED	none_because_B_nonzero	degenerate_or_other_topology_cases
lambda_plus_one_parallelism_conditions	DERIVED	p1_p2_p3_A_zero	physical_selection
lambda_plus_one_complete_product_survivor	DERIVED	off_shell_R_times_round_S3_phi_constant_a_zero	on_shell_status
lambda_plus_one_metric_intrinsic_ruler	DERIVED	not_retained_due_zero_twist_and_spatial_isotropy	other_intrinsic_selectors
lambda_minus_one_parallelism_conditions	DERIVED	stationary_regular_twisted_S3_coframe	other_coframes_topologies_and_time_dependence
lambda_minus_one_regular_parallel_survivor	DERIVED	none_because_B_nonzero	degenerate_or_other_topology_cases
nonconstant_twisted_intrinsic_pair_parallel_survivor	DERIVED	none_inside_registered_family	other_coframes_topologies_and_time_dependence
path_groupoid_reciprocal_lift	DERIVED	given_path_and_Levi_Civita_connection	physical_comparison_object
founding_Reciprocity_requires_global_parallel_X	OPEN	not_stated_by_current_audit	exact_semantic_object_audit
physical_lambda_profile_or_branch	OPEN	off_shell_classification_only	on_shell_selector
action_source_carrier_boundary_density_bootstrap_mass_Xmax_dynamics	OPEN	excluded	complete_physics
copresence	WORKING	interpretive_frame_only	operational_access_theorem
