case	direction	out	acted	nabla_X_component
GENERIC_NOT_PLUS_MINUS_ONE	0	0	1	-2*p1
GENERIC_NOT_PLUS_MINUS_ONE	0	0	2	-p2*(lambda + 1)
GENERIC_NOT_PLUS_MINUS_ONE	0	0	3	-p3*(lambda + 1)
GENERIC_NOT_PLUS_MINUS_ONE	0	1	0	2*p1
GENERIC_NOT_PLUS_MINUS_ONE	0	2	0	p2*(lambda + 1)
GENERIC_NOT_PLUS_MINUS_ONE	0	3	0	p3*(lambda + 1)
GENERIC_NOT_PLUS_MINUS_ONE	1	1	2	p2*(lambda - 1)
GENERIC_NOT_PLUS_MINUS_ONE	1	1	3	p3*(lambda - 1)
GENERIC_NOT_PLUS_MINUS_ONE	1	2	1	p2*(lambda - 1)
GENERIC_NOT_PLUS_MINUS_ONE	1	3	1	p3*(lambda - 1)
GENERIC_NOT_PLUS_MINUS_ONE	2	0	3	-A*(lambda + 1)/2
GENERIC_NOT_PLUS_MINUS_ONE	2	1	2	-lambda*p1*(lambda - 1)
GENERIC_NOT_PLUS_MINUS_ONE	2	1	3	-B*(lambda - 1)/2
GENERIC_NOT_PLUS_MINUS_ONE	2	2	1	-lambda*p1*(lambda - 1)
GENERIC_NOT_PLUS_MINUS_ONE	2	3	0	A*(lambda + 1)/2
GENERIC_NOT_PLUS_MINUS_ONE	2	3	1	-B*(lambda - 1)/2
GENERIC_NOT_PLUS_MINUS_ONE	3	0	2	A*(lambda + 1)/2
GENERIC_NOT_PLUS_MINUS_ONE	3	1	2	B*(lambda - 1)/2
GENERIC_NOT_PLUS_MINUS_ONE	3	1	3	-lambda*p1*(lambda - 1)
GENERIC_NOT_PLUS_MINUS_ONE	3	2	0	-A*(lambda + 1)/2
GENERIC_NOT_PLUS_MINUS_ONE	3	2	1	B*(lambda - 1)/2
GENERIC_NOT_PLUS_MINUS_ONE	3	3	1	-lambda*p1*(lambda - 1)
LAMBDA_PLUS_ONE	0	0	1	-2*p1
LAMBDA_PLUS_ONE	0	0	2	-2*p2
LAMBDA_PLUS_ONE	0	0	3	-2*p3
LAMBDA_PLUS_ONE	0	1	0	2*p1
LAMBDA_PLUS_ONE	0	2	0	2*p2
LAMBDA_PLUS_ONE	0	3	0	2*p3
LAMBDA_PLUS_ONE	2	0	3	-A
LAMBDA_PLUS_ONE	2	3	0	A
LAMBDA_PLUS_ONE	3	0	2	A
LAMBDA_PLUS_ONE	3	2	0	-A
LAMBDA_MINUS_ONE	0	0	1	-2*p1
LAMBDA_MINUS_ONE	0	1	0	2*p1
LAMBDA_MINUS_ONE	1	1	2	-2*p2
LAMBDA_MINUS_ONE	1	1	3	-2*p3
LAMBDA_MINUS_ONE	1	2	1	-2*p2
LAMBDA_MINUS_ONE	1	3	1	-2*p3
LAMBDA_MINUS_ONE	2	1	2	-2*p1
LAMBDA_MINUS_ONE	2	1	3	B
LAMBDA_MINUS_ONE	2	2	1	-2*p1
LAMBDA_MINUS_ONE	2	3	1	B
LAMBDA_MINUS_ONE	3	1	2	-B
LAMBDA_MINUS_ONE	3	1	3	-2*p1
LAMBDA_MINUS_ONE	3	2	1	-B
LAMBDA_MINUS_ONE	3	3	1	-2*p1
