catch_id	corruption_or_overclaim	required_rejection
F01	premise_stamp_deleted_or_promoted	FAIL_G01
F02	generic_or_exceptional_lambda_stratum_omitted	FAIL_G02
F03	connection_block_silently_omitted	FAIL_G03
F04	curvature_centralization_substituted_for_nablaX_parallelism	FAIL_G04
F05	B_or_C_zero_admitted_on_regular_S3	FAIL_G05
F06	a_zero_called_metric_degeneracy	FAIL_G06
F07	a_zero_ruler_selector_loss_hidden	FAIL_G07
F08	phi_constant_conclusion_without_global_integrability	FAIL_G08
F09	pointwise_solution_called_complete_branch	FAIL_G09
F10	incomplete_or_rank_lost_metric_admitted	FAIL_G10
F11	symbolic_identity_not_zero	FAIL_G11
F12	independent_Koszul_case_missing	FAIL_G12
F13	coordinate_curvature_holdout_missing_or_over_tolerance	FAIL_G13
F14	round_spatial_degeneracy_hidden	FAIL_G14
F15	accidental_curvature_only_case_called_endpoint_closure	FAIL_G15
F16	path_groupoid_invalidated_by_nonparallel_result	FAIL_G16
F17	one_surviving_stabilizer_selects_lambda	FAIL_G17
F18	regular_family_result_called_all_UDT_metrics	FAIL_G18
F19	off_shell_complete_metric_called_physical_solution	FAIL_G19
F20	seam_quotient_or_inversion_inferred	FAIL_G20
F21	action_source_or_carrier_inferred	FAIL_G21
F22	density_bootstrap_mass_or_Xmax_inferred	FAIL_G22
F23	dynamics_signalling_or_observation_fit_inferred	FAIL_G23
F24	copresence_or_operational_access_promoted	FAIL_G24
