catch_id	expected	observed
C01_MISSING_EQUIVALENCE	REJECT	PASS
C02_DUPLICATE_EQUIVALENCE	REJECT	PASS
C03_MISSING_RESIDUAL_CLASS	REJECT	PASS
C04_DUPLICATE_RESIDUAL_CLASS	REJECT	PASS
C05_NONBASIC_FALSE_NO_SOLUTION_DESCENT	REJECT	PASS
C06_SOLUTION_DESCENT_FALSE_OPERATOR_BASIC	REJECT	PASS
C07_FINITE_REDUCTION_FROM_INVARIANCE	REJECT	PASS
C08_ZERO_SET_IGNORES_TANGENT	REJECT	PASS
C09_QUERY_VARIED_AS_FIELD	REJECT	PASS
C10_REALIZED_SECTION_INTRODUCED	REJECT	PASS
C11_FIBER_MEASURE_INTRODUCED	REJECT	PASS
C12_LOCAL_JETS_DECIDE_HOLONOMY	REJECT	PASS
C13_QUOTIENT_PROMOTED_TO_UDT	REJECT	PASS
C14_SINGULAR_UNIQUE_TANGENT	REJECT	PASS
C15_BOUNDARY_COLLAPSED	REJECT	PASS
C16_SNE_SELECTS_RESIDUAL	REJECT	PASS
C17_CSN_ACTIVATED	REJECT	PASS
C18_PHYSICS_PROMOTED	REJECT	PASS
C19_CONTROL_PROMOTED_PHYSICAL	REJECT	PASS
C20_ESCAPE_REMOVED	REJECT	PASS
C21_STRICTNESS_FALSE_IRREDUCIBILITY	REJECT	PASS
C22_SCALARIZATION_FALSE_VARIATION	REJECT	PASS
