premise_id	premise	status	use_in_audit	exclusion
P01	Reciprocal-c conversion directions and dual observer-frame reciprocity	FOUNDING	type the founded query law	do not infer a dynamical residual
P02	Additive regular reciprocal depth and O(1,1) character	DERIVED	query-composition compatibility	physical depth assignment remains open
P03	Observer-pair/path query bundle	DERIVED_CONTAINER	universal quantifier domain	no physical section and no delta_q
P04	Ambient metric geometry	DEFINED_FROM_SUPPLIED_METRIC	local and global metric controls	not a native equation
P05	Complete coframe skeleton	DEFINED_CONFIGURATION_ARCHITECTURE	allowed metric-owned inputs	not on shell or a field census
P06	Strong local CSN	OPEN_INACTIVE	none	must not select a quotient or action
P07	Universal-all-queries quantifier	ADMISSIBLE_NOT_SELECTED	object under audit	must not be promoted by convenience
P08	Realized reciprocal section	OPEN	none	must not be introduced
P09	Branch-derived selector	CONDITIONAL_REGULAR	R05 chain-rule scope	undefined or set-valued on registered strata
P10	SNe clock/areal/optical relation	CONDITIONAL_OBSERVATIONAL_COMPATIBILITY_ANCHOR	downstream codomain check only	must not select residual quantifier branch or X_max
P11	Bootstrap	WORKING_ON_SHELL_ADMISSIBILITY	future compatibility only	no equation density or optimizer supplied
P12	S2 carrier	POSIT	none	cannot enter this audit
P13	Action source boundary mass matter dynamics	OPEN_OR_PRIOR_CONDITIONAL	outputs not inputs	no reconstruction or promotion
P14	Finite algebra and quotient controls	FREE_CATEGORY_A_METHOD	counterexamples and certificates only	no physical interpretation
