authority_id	object	status	guard
A01	query physical variation	PROHIBITED_WITHOUT_FIELD_OWNERSHIP	q remains quantified argument
A02	realized observer section	NOT_SUPPLIED	universal architecture needs no section
A03	fiber measure weighting or aggregation	NOT_SUPPLIED	no scalarization by averaging
A04	translation or glide quotient as UDT topology	NOT_SELECTED	global controls are category-A only
A05	unique smooth tangent on singular strata	NOT_SUPPLIED	retain tangent cone interface or set-valued options
A06	boundary type polarization or gluing	NOT_SELECTED	base and query boundary owners remain distinct
A07	SNe selection of residual or quantifier	NO	conditional downstream anchor only
A08	strong local CSN	INACTIVE	cannot select local reduction or action
A09	action source carrier bootstrap equation Xmax mass matter dynamics	NOT_DERIVED	unchanged authority boundary
A10	physical interpretation of finite controls	NONE	algebra and quotient controls only
