target	status	source_free	orientation_sensitive	physical_observable	requirement_or_caveat
RELATIVE_RESPONSE_OPERATOR	DERIVED_CONDITIONAL_ON_COMMON_TYPED_QUERY	YES	YES	NO	D_and_U_must_share_query_path_screens_and_calibration
COMMON_RESPONSE_SCALE	DERIVED_DIMENSIONFUL_CONDITIONAL	YES	NO	NO	reference_length_or_global_scale_required_for_logarithmic_value
SHEAR_MAGNITUDE	DERIVED_CONDITIONAL_ON_QUERY	YES	NO	NO	det_D_positive_and_no_caustic
SHEAR_TENSOR	DERIVED_COVARIANT_CONDITIONAL_ON_QUERY	YES	YES	NO	components_require_observer_or_source_screen_frame
RELATIVE_POLAR_ROTATION	DERIVED_ON_ORIENTED_REGULAR_QUERY	YES	YES	NO	reflection_reverses_sign
RAW_OPEN_PATH_U_ANGLE	NOT_OWNED_AS_SCALAR	YES	YES	NO	independent_endpoint_gauge_remains
G68_AZIMUTHAL_CARRY_AS_IMAGE_ROTATION	REJECTED_TYPE_IDENTIFICATION	YES	NO	NO	psi_is_not_relative_polar_rotation
PHYSICAL_SCALAR_TT_RESPONSE	OPEN_NO_OWNER	NO	NO	OPEN	source_field_query_and_measurement_law_required
PHYSICAL_POLARIZATION_RESPONSE	OPEN_NO_OWNER	NO	YES	OPEN	orientation_sensitive_source_and_measurement_law_required
SOURCE_POPULATION_AND_NORMALIZATION	OPEN_NO_OWNER	NO	POSSIBLE	OPEN	geometry_transports_but_does_not_populate
PHYSICAL_ENDPOINT_PROFILE_GLOBAL_SCALE	OPEN_NO_OWNER	NO	POSSIBLE	OPEN	Xmax_and_SNe_do_not_currently_select
