gate	failure_mutation	required_result
G00	source_manifest_hash_drift	REJECT
G01	raw_open_U_angle_called_endpoint_gauge_invariant	REJECT
G02	D_and_U_from_different_queries_combined	REJECT
G03	reflection_sign_of_theta_removed	REJECT
G04	caustic_or_det_D_zero_called_regular	REJECT
G05	dimensionful_ell_logged_without_reference_scale	REJECT
G06	G68_psi_identified_with_relative_polar_rotation	REJECT
G07	geometric_response_promoted_to_physical_scalar_TT	REJECT
G08	geometric_response_promoted_to_physical_polarization	REJECT
G09	zero_source_claimed_to_generate_nonzero_pattern	REJECT
G10	endpoint_D_blocks_claimed_to_multiply_under_composition	REJECT
G11	Xmax_or_SNe_claimed_to_select_endpoint_profile_or_scale	REJECT
G12	source_population_or_normalization_promoted_to_metric_owned	REJECT
