premise	status	role	active_in_derivation
complete_metric_coframe	DERIVED_BANKED	owns_conditional_screen_geometry	YES
regular_observer_sky_query	CONDITIONAL_SUPPLIED	types_D_U_and_endpoint_screens	YES
physical_CMB_query	OPEN	would_select_real_endpoint_profile_path	NO
screen_orientation	CHOSE_QUERY_OR_BRANCH	orients_relative_angle	YES_WITH_REFLECTION_AUDIT
affine_screen_calibration	CHOSE_QUERY	types_Jacobi_domain_against_U	YES
c_E	OBSERVED_CALIBRATION	clock_length_units_only	NO_SELECTOR_ROLE
SNe_P1	CONDITIONAL_LOW_Z_ANCHOR	future_profile_compatibility	NO
Xmax	WORKING_ASYMPTOTIC_GUARD	future_global_scale_or_endpoint_relation	NO
source_state	OPEN	would_populate_scalar_or_spin_channels	NO
detector_response	OPEN	would_map_geometric_response_to_observation	NO
bootstrap	WORKING_HYPOTHESIS	future_global_local_selection	NO
