object	mathematical_type	owner	status	domain_guard
D	calibrated_Jacobi_map_source_screen_derivative_to_observer_screen_separation	metric_plus_supplied_query	DERIVED_CONDITIONAL_ON_QUERY	regular_affine_calibration_and_no_caustic
U	oriented_metric_screen_isometry_source_to_observer	metric_plus_supplied_path	DERIVED_CONDITIONAL_ON_QUERY	common_screen_bundle_and_path
raw_open_U_angle	endpoint_frame_representative	NONE_AS_SCALAR	GAUGE_COVARIANT_NOT_INVARIANT	independent_endpoint_rotations
M	U_inverse_D_endomorphism_of_calibrated_source_screen	metric_plus_same_supplied_query	DERIVED_CONDITIONAL_ON_COMMON_TYPING	D_and_U_share_source_target_and_calibration
ell	square_root_determinant_response_density	metric_plus_same_supplied_query	DERIVED_DIMENSIONFUL	positive_determinant_reference_length_needed_for_log
chi	dimensionless_singular_value_ratio	metric_plus_same_supplied_query	DERIVED_CONDITIONAL_ON_QUERY	positive_singular_values
Q_s	tracefree_log_positive_polar_factor	metric_plus_same_supplied_query	DERIVED_COVARIANT_TENSOR	shear_axis_undefined_at_chi_zero
theta_rel	oriented_relative_polar_angle_modulo_2pi	metric_plus_same_supplied_query	DERIVED_ON_ORIENTED_REGULAR_QUERY	sign_quotiented_under_reflection
psi_G68	endpoint_azimuthal_coordinate_carry	metric_plus_G68_control_query	DERIVED_CONDITIONAL_DISTINCT_CHANNEL	must_not_be_identified_with_theta_rel
physical_TT	observed_scalar_sky_statistic	NONE_CURRENT	OPEN_NO_OWNER	source_query_and_response_required
physical_TE_EE_BB	observed_orientation_sensitive_sky_statistics	NONE_CURRENT	OPEN_NO_OWNER	spin_sensitive_source_and_response_required
