source	line	occurrences	classification
reorganization_r0/DEPENDENCY_MAP.tsv	13360	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r0/ROOT_FILE_INVENTORY.tsv	838	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r0/ROOT_FILE_INVENTORY.tsv	949	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1a/postmove_census/DEPENDENCY_MAP.tsv	12978	2	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1a/postmove_census/DEPENDENCY_MAP.tsv	14058	2	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1a/postmove_census/DEPENDENCY_MAP.tsv	16363	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1a/postmove_census/ROOT_FILE_INVENTORY.tsv	827	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1a/postmove_census/ROOT_FILE_INVENTORY.tsv	938	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1b/BASE_ROOT_MARKDOWN.tsv	330	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1b/base_census/BASE_INBOUND_REFERENCES_FORENSIC.tsv	7270	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1b/base_forensic_census/DEPENDENCY_MAP.tsv	12978	2	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1b/base_forensic_census/DEPENDENCY_MAP.tsv	14058	2	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1b/base_forensic_census/DEPENDENCY_MAP.tsv	16458	2	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1b/base_forensic_census/DEPENDENCY_MAP.tsv	17537	2	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1b/base_forensic_census/DEPENDENCY_MAP.tsv	19307	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	827	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	938	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1b/postmove_forensic_census/DEPENDENCY_MAP.tsv	12974	2	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1b/postmove_forensic_census/DEPENDENCY_MAP.tsv	14052	2	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1b/postmove_forensic_census/DEPENDENCY_MAP.tsv	16439	2	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1b/postmove_forensic_census/DEPENDENCY_MAP.tsv	17516	2	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1b/postmove_forensic_census/DEPENDENCY_MAP.tsv	18294	2	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1b/postmove_forensic_census/DEPENDENCY_MAP.tsv	19326	2	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1b/postmove_forensic_census/DEPENDENCY_MAP.tsv	21108	2	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1b/postmove_forensic_census/DEPENDENCY_MAP.tsv	22176	2	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1b/postmove_forensic_census/DEPENDENCY_MAP.tsv	23970	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	825	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	936	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1b/postmove_operational_census/DEPENDENCY_MAP.tsv	13327	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1c/FROZEN_ROOT_INVENTORY.tsv	825	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1c/R1C_AUDIT_REPORT.md	46	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1c/correction/CANDIDATE_CLOSURE_AUDIT.tsv	2	2	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1c/correction/CANDIDATE_MECHANICAL_CLOSURE.json	1258	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1c/correction/CANDIDATE_MECHANICAL_CLOSURE.json	1259	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1c/correction/CANDIDATE_MECHANICAL_CLOSURE.json	1277	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1c/correction/CANDIDATE_MECHANICAL_CLOSURE.json	1278	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1c/correction/CANDIDATE_MECHANICAL_CLOSURE.json	1287	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1c/correction/CANDIDATE_MECHANICAL_CLOSURE.json	1288	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1c/correction/CANDIDATE_MECHANICAL_CLOSURE.json	1297	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1c/correction/CANDIDATE_MECHANICAL_CLOSURE.json	1298	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1c/correction/CANDIDATE_MECHANICAL_CLOSURE.json	1307	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1c/correction/CANDIDATE_MECHANICAL_CLOSURE.json	1308	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1c/correction/CANDIDATE_MECHANICAL_CLOSURE.json	1317	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1c/correction/CANDIDATE_MECHANICAL_CLOSURE.json	1318	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1c/correction/CANDIDATE_MECHANICAL_CLOSURE.json	1327	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1c/correction/CANDIDATE_MECHANICAL_CLOSURE.json	1328	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1c/correction/CANDIDATE_MECHANICAL_CLOSURE.json	1337	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1c/correction/CANDIDATE_MECHANICAL_CLOSURE.json	1338	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1c/correction/CANDIDATE_MECHANICAL_CLOSURE.json	1347	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1c/correction/CANDIDATE_MECHANICAL_CLOSURE.json	1348	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1c/correction/CANDIDATE_MECHANICAL_CLOSURE.json	1394	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1c/correction/PREREGISTERED_ACTIVE_MOVE_READY_CANDIDATES.tsv	6	2	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1c/correction/R1C_CORRECTION_PREREGISTRATION.md	45	1	HISTORICAL_R0_R1C_FIXED_RECORD
reorganization_r1d/PREREGISTERED_INPUTS.json	3	1	R1D_CONTROL_OR_AUDIT_RECORD
reorganization_r1d/PREREGISTERED_INPUTS.json	14	1	R1D_CONTROL_OR_AUDIT_RECORD
reorganization_r1d/PREREG_VERIFY_RESULT.json	3	1	R1D_CONTROL_OR_AUDIT_RECORD
reorganization_r1d/PREREG_VERIFY_RESULT.json	15	1	R1D_CONTROL_OR_AUDIT_RECORD
reorganization_r1d/R1D_AUDIT_REPORT.md	13	1	R1D_CONTROL_OR_AUDIT_RECORD
reorganization_r1d/R1D_AUDIT_REPORT.md	14	1	R1D_CONTROL_OR_AUDIT_RECORD
reorganization_r1d/R1D_PREREGISTRATION.md	11	1	R1D_CONTROL_OR_AUDIT_RECORD
reorganization_r1d/R1D_PREREGISTRATION.md	12	1	R1D_CONTROL_OR_AUDIT_RECORD
reorganization_r1d/VERIFY_RESULT.json	5	1	R1D_CONTROL_OR_AUDIT_RECORD
reorganization_r1d/VERIFY_RESULT.json	6	1	R1D_CONTROL_OR_AUDIT_RECORD
reorganization_r1d/build_current_artifact_paths.py	9	1	R1D_CONTROL_OR_AUDIT_RECORD
reorganization_r1d/build_current_artifact_paths.py	10	1	R1D_CONTROL_OR_AUDIT_RECORD
reorganization_r1d/classify_old_path_occurrences.py	9	1	R1D_CONTROL_OR_AUDIT_RECORD
reorganization_r1d/freeze_r1d_preregistration.py	13	1	R1D_CONTROL_OR_AUDIT_RECORD
reorganization_r1d/freeze_r1d_preregistration.py	14	1	R1D_CONTROL_OR_AUDIT_RECORD
reorganization_r1d/verify_r1d_canary.py	20	1	R1D_CONTROL_OR_AUDIT_RECORD
reorganization_r1d/verify_r1d_canary.py	21	1	R1D_CONTROL_OR_AUDIT_RECORD
research/_registry/CURRENT_ARTIFACT_PATHS.tsv	825	2	CURRENT_MAP_ORIGINAL_IDENTITY_AND_DESTINATION_SUFFIX
research/_registry/FIRST_ACTIVE_FAMILY_MIGRATION_RECOMMENDATION.json	9	1	HISTORICAL_R1C_FIXED_REGISTRY
research/_registry/FIRST_ACTIVE_FAMILY_MIGRATION_RECOMMENDATION.json	10	1	HISTORICAL_R1C_FIXED_REGISTRY
research/_registry/FIRST_ACTIVE_FAMILY_MIGRATION_RECOMMENDATION.json	19	1	HISTORICAL_R1C_FIXED_REGISTRY
research/_registry/FIRST_ACTIVE_FAMILY_MIGRATION_RECOMMENDATION.json	44	1	HISTORICAL_R1C_FIXED_REGISTRY
