package_path	role
udt_native_global_observable_closure_census_2026-07-26	primary existing global-observable census
udt_global_local_relational_closure_audit_2026-07-25	current bootstrap premise owner
udt_bootstrap_to_local_response_map_audit_2026-07-25	bootstrap return-map audit
udt_bootstrap_clock_angular_closure_audit_2026-07-24	clock angular and equation-family closure
udt_global_functional_dof_constraint_rank_audit_2026-07-26	variation-domain and response-rank correction
udt_native_global_coframe_definition_audit_2026-07-28	complete coframe existence and selector status
udt_macro_phi_angular_xmax_extension_atlas_2026-07-25	macro angular and Xmax global outputs
udt_observer_pair_xmax_bridge_audit_2026-07-27	observer-pair and Xmax bridge
native_boundary_generator_scale_audit_2026-07-19	boundary flux generator and scale status
asymptotic_boundary_lineage_audit_2026-07-19	boundary objects and Xmax lineage
boundary_bootstrap_representative_selector_audit_2026-07-19	boundary/bootstrap representative selection
udt_p4_routeA_response_inverse_problem_2026-07-29	current inverse response architecture
udt_p4_routeA_slice2_solution_legs_2026-07-29	integrated branch outputs
udt_p4_routeA_slice2b_full_cell_2026-07-29	full-cell conditional outputs
udt_p4_boundary_action_gate_2026-07-30	current boundary action and posture gate
udt_joint_selector_provenance_audit_2026-07-28	full registered joint-operation census
udt_metric_natural_joint_selector_nogo_2026-07-28	bounded natural-selector obstruction and escape routes
