candidate_id	family	status	map_kind	differentiability	common_domain_blocker	physical_promotion_blocked	source_anchor
O01	PROPER_MEASURE_AND_VOLUME	CONDITIONAL_PARTIAL_MAP_COMPONENT	METRIC_MEASURE_AFTER_DOMAIN_SLICE_BOUNDARY	FIXED_DOMAIN_EXACT; MOVING_BOUNDARY_PARTIAL	slice, representative, completion, moving boundary	not a selected volume or state coordinate	A01;A02
O02	CURVATURE_LOCAL_AND_INTEGRATED	LOCAL_DERIVED_GLOBAL_UNSELECTED	LOCAL_TENSOR_FUNCTOR_PLUS_UNSELECTED_INTEGRAL_FAMILY	LOCAL_EXACT; SELECTED_GLOBAL_FUNCTIONAL_ABSENT	choice of contraction, weighting, region, boundary flux	curvature is not native energy or a selected closure component	A03;A04
O03	HOLONOMY_AND_TRANSPORT	CONDITIONAL_PATH_GROUPOID_OUTPUT	PATH_OR_LOOP_LABELLED_TRANSPORT	CONDITIONAL_FIXED_PATH	path, basepoint, lift, cut, glue, completion	not an endpoint-independent scalar	A05;A11
O04	TOPOLOGY_AND_COMPLETION	CONFIGURATION_LABEL_NOT_RESPONSE	DISCRETE_BRANCH_LABEL	ZERO_WITHIN_COMPONENT; JUMP_AT_SECTOR_CHANGE	completion is supplied or branch-labelled	label does not return a local equation	A05;A11
O05	OBSERVER_CLOCK_DEPTH_AND_PAIRING	CONDITIONAL_QUERY_FAMILY_NOT_UNIVERSAL	OBSERVER_PATH_SLICE_QUERY	BRANCH_AND_CUT_LOCUS_CONDITIONAL	observer pair, path family, causal class, representative	arguments may not be erased	A06
O06	XMAX_DIAMETER	TYPE_ONLY_SCHEMA_NOT_DEFINED	SUPREMUM_SCHEMA	REQUIRES_ATTAINED_UNIQUE_STABLE_MAXIMIZER	separation functional, observer domain, completion, finiteness, attainment	no derived value or universal diameter	A06
O07	BOUNDARY_GEOMETRY_AND_FLUX	CONDITIONAL_RAW_GEOMETRY_NOT_CHARGE	INDUCED_EXTRINSIC_CORNER_AND_FLUX_DATA	OPERATOR_AND_BOUNDARY_DOMAIN_DEPENDENT	embedding, causal type, corners, native boundary primitive	raw flux is not normalized charge, mass, or energy	A07;A14
O08	COFRAME_SCREEN_AND_RECIPROCAL_RESPONSE	OFFSHELL_STRUCTURE_AND_ALLOWED_RESPONSE_FAMILY	COFRAME_DATA_PLUS_PERMITTED_EQUIVARIANT_RESPONSE_SPACE	POINTWISE_TYPED; WHOLE_SOLUTION_SELECTION_OPEN	pairing, posture, census, completion, selected response	allowed response family is not the realized response law	A08;A12
O09	P4_INTEGRATED_BRANCH_DATA	CONDITIONAL_ACTION_PAIRING_BRANCH_OUTPUT	BRANCH_SCOPED_E0_ELL_I_P_WALL_AND_CELL_DATA	EXACT_ON_REGISTERED_REDUCED_MEMBERS	locally-exact member, pairing branch, mass definition, boundary posture	not metric-only universal output; integrated tie disappears on P2	A09;A10;A12
O10	NATIVE_MASS_ENERGY_DENSITY	OPEN_NO_NATIVE_FUNCTIONAL	ABSENT	ABSENT	native mass, energy, source, normalization, same-solution volume	dimensional or conditional readout cannot be promoted	A01;A13
O11	OTHER_REGISTERED_OUTPUT	NO_ADDITIONAL_COMPLETE_OUTPUT_FOUND	BOUNDED_SOURCE_CENSUS_NEGATIVE	NOT_APPLICABLE	no source-defined complete candidate outside O01-O10	bounded negative only	A13;A14
