anchor_id	path	sha256	role	exact_finding
A01	udt_native_global_observable_closure_census_2026-07-26/AUDIT_REPORT.md	8df87a2d5d99f9f95fe60e8987348f61575f593b53a19a0a4a99093a76e68114	pre-P4 complete output census	no complete observable vector or closure section; conditional geometric primitives survive
A02	udt_native_global_observable_closure_census_2026-07-26/VARIATION_LEDGER.tsv	4bb364320b779bbaae46a5994138c0a76e8ccba16bd530914b892c72085d74d7	measure and variation formulae	fixed-domain measures and moving-boundary terms are distinct
A03	udt_native_global_observable_closure_census_2026-07-26/OBSERVABLE_DEFINITION_LEDGER.tsv	f16aa34b79aef478dd4a5b182016c79bc24141a0d2ae3ca9dec9c0aa3cd82e33	26-object universe	local curvature is derived; mass and energy are absent; Xmax is type-only
A04	udt_native_global_observable_closure_census_2026-07-26/OBSERVABLE_GATE_MATRIX.tsv	edbdcb0970a3bb1f07ee21ceb09e0beb139985525bf716dc7a88e7f46b898569	uniform output gates	no candidate supplies a complete closure component on one common domain
A05	udt_native_global_observable_closure_census_2026-07-26/ASSEMBLY_BLOCKER_LEDGER.tsv	c69d3a3cc962e090943ecc1f116b0f68bea876d248498e1261fe977153492e34	assembly blockers	component union cannot repair ontology, boundary, selection, R, A, or matter gaps
A06	udt_native_global_observable_closure_census_2026-07-26/STATUS_LEDGER.tsv	b2b88acc8dfe5da2819b55b7e284d6a597cf5561bd892c791f1381f0287d7839	status ceiling	observer separation and Xmax remain open/type-only
A07	udt_p4_boundary_action_gate_2026-07-30/AUDIT_REPORT.md	0e2a7f7f6ea406c9634ae353ef6c2106c7d1f8623fae9b342e682a461b8eb047	P4 wall response	N=2 wall family is constrained but posture and higher selective layers remain open
A08	udt_p4_routeA_response_inverse_problem_2026-07-29/AUDIT_REPORT.md	0e1b0e5b2d9f8b4c220ebbdec93126ecbf7052ca01c0fd280d1f34391642cfa7	P4 response architecture	typed response family is posed; no candidate or law is selected
A09	udt_p4_routeA_slice2_solution_legs_2026-07-29/AUDIT_REPORT.md	0b6b2e137108437ac4cc756662d2147ebc091498aefc5fed11d38d66146e6905	P4 integrated tie	2 E0 I_p=0 is pairing-branch-relative and absent on P2
A10	udt_p4_routeA_slice2b_full_cell_2026-07-29/AUDIT_REPORT.md	77ecaf12d7c184742255d8de81907e8cf6657c463096c2bc6e623319017da0aa	P4 full-cell outputs	E0, ell, wall, and density readings are branch-labelled; none is promoted
A11	udt_p4_angular_stage_A3_2026-07-31/AUDIT_REPORT.md	a1a7e875a60e9c63e6d05583abcab6012f0677c90fe113d99d172b5dd50c5bb3	post-July topology/holonomy census	fixed architecture integers and continuous holonomy survive; completion joins and on-shell coexistence remain open
A12	udt_p4_cold_adversarial_review_2026-08-01/AUDIT_REPORT.md	6f389c914007aff0b8eded3ffa02ba386a8c7b580235674b2bae51649991704c	cold P4 regrade	P4 survives as premise-scoped formal response/census evidence, not selected physics
A13	udt_jr_cert_native_derivation_2026-08-01/AUDIT_REPORT.md	4b50f9e0efaff8a9341c32cec6dbd7f4084487f14d38b3039f143c892fb071d4	current parent equation audit	zero of eight equation routes passes; bootstrap is the strongest typed lead but neither arrow is defined
A14	udt_jr_cert_native_derivation_2026-08-01/EXACT_DERIVATION.md	096e674dbf4c41994b1c2a6dd6df3c213f6bd912d7b038019bb9b588a81df21d	selection versus reconstruction and boundary dependence	metric identities reconstruct supplied geometry; matching boundary operation depends on the missing native operator
