path	sha256	bytes	blob	base
AGENTS.md	16d71c4f01f721d474354a436dcc1adecc48ab000d4fadf4e0479d60ad660714	21248	c777d6f79bdea17c19c053518bd4107c1dca4af8	df2b35fcb6fc709e1ad0639b9f46222d64ee99cd
CURRENT_SCIENTIFIC_PREMISES.md	63fe502793db25c9ddbf078c393fecc449d43648984d63504b49a4b9fbe72491	2493	1a25dc1d354e0065c527374767f11aa9d06d62de	df2b35fcb6fc709e1ad0639b9f46222d64ee99cd
CURRENT_SCIENTIFIC_PREMISES.tsv	69342e40bc69cb89022efa8a3c68db63214040e3efe0f001278d995cd4c7ec0f	6798	f923b077483c2d2ab5fde2697a6e63649d027dc6	df2b35fcb6fc709e1ad0639b9f46222d64ee99cd
HANDOFF.md	2556ec6806d6cc5450ba1e8e8c4395052b3a118aa22ccbde552ed6526adc6d76	74875	adf26e828648da3fc9392265dbaf3b309b691755	df2b35fcb6fc709e1ad0639b9f46222d64ee99cd
LIVE.md	4b939d62f741d185a5128837fcc053ef77457479f35a1e8cceb1c6181455a0ad	63060	992b19758337325a5827fd81bcdc0a9bac399134	df2b35fcb6fc709e1ad0639b9f46222d64ee99cd
P4_ARC_SUMMARY_2026-07-31.md	85f5b9e7ce6619ba0b286c71291a3eaee61779fcdb81980c0241d0e24a3b2bb8	14889	b98f755290501a712731c124c6b4226631ebfb14	df2b35fcb6fc709e1ad0639b9f46222d64ee99cd
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	8f2f48b76e90cbd223a1229caff8594ec36ba7880132f64083ebd057034686ed	86527	5d70efd596ae635d41b3fc8d5947a7313e28c9e4	df2b35fcb6fc709e1ad0639b9f46222d64ee99cd
angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	4e1178a7993a6f3f3e94713df27d0ab8c140b96ef613c5fa09099af72941cb8b	16110	4104ed440be3efa52456bad89baef710e99ffa67	df2b35fcb6fc709e1ad0639b9f46222d64ee99cd
angular_toric_closure_selector_2026-07-19/CANDIDATE_FAMILY.tsv	752adf109a54aaf7e738abdf3eef0f123dc278cd2b35aca65bcf7bddcc11dd10	3521	e1bdeb3ee4c03c4ba67366ef4d97a2e212692e06	df2b35fcb6fc709e1ad0639b9f46222d64ee99cd
angular_toric_closure_selector_2026-07-19/DERIVATION_RESULT.json	b4fa2f81773260c55cccb47d8b62896d9d2e807cfb007fca640c96aa2bcde272	6435	35b6a5767c72243a428413dbd0eec5cafa7b11f9	df2b35fcb6fc709e1ad0639b9f46222d64ee99cd
angular_toric_closure_selector_2026-07-19/DERIVATION_TRANSCRIPT.txt	69696d6d9ff2040c50e82c62883193f11326a584c34ccd63d506325a0e98b9e1	589	b40043af3a4e9e48a329d6a0eb65ada1635172a3	df2b35fcb6fc709e1ad0639b9f46222d64ee99cd
angular_toric_closure_selector_2026-07-19/EXTERNAL_ADVERSARIAL_REVIEW.md	08c9925a15a8c990716c0abad135bfebe057d6bde5983dd0ba768abbe202c8fe	2512	e6f7a9b92df3cbc80269c82a71efc3792c1ba6c9	df2b35fcb6fc709e1ad0639b9f46222d64ee99cd
angular_toric_closure_selector_2026-07-19/LAY_DECISION_TREE.md	dd5b79c0671ce86de3473bf0a15d62d599f926e0e888e5db1ce4ef1f4ce18f0c	1784	c80dd70fe7287170133af2e4fd02b73a1a132fc4	df2b35fcb6fc709e1ad0639b9f46222d64ee99cd
angular_toric_closure_selector_2026-07-19/PREREGISTRATION.md	6628c38cc85f3873e52de12fb0578493f340fc9a86c35f416a95869900f5c264	9471	d77ef091efa6c2f991106854fbe176b2e2cebe63	df2b35fcb6fc709e1ad0639b9f46222d64ee99cd
