kind	path	sha256	role
founding	founding.md	7cd593680e9c0e307ef13373058599012b37749f7f9a767bb1922418b388ccf7	current F1-F4 W1-W4 statement
founding	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	reciprocal character and primary metric derivation
authority	CURRENT_SCIENTIFIC_PREMISES.tsv	af792761a843101c47106c9b693df687fd43508803c79a63962907d9e21073c0	244-row exact premise registry
authority	udt_scientific_arc_recovery_checkpoint_2026-08-04/MASS_BRANCH_AUTHORITY_MAP.tsv	1483331ab0e00bc6f800589edaaf56fff7c670a75292e49a05adc9935a063bdf	plural conditional mass-branch firewall
source	udt_g216_observer_event_comparison_clock_rate_ownership_2026-08-22/AUDIT_REPORT.md	a30cc5ec78093ca4e1f2efb2c4156bb2b5b83143a2d41c33ab447ec2a18feed2	proper-clock rate ratio
source	udt_g217_founded_depth_event_pair_first_jet_ownership_2026-08-22/AUDIT_REPORT.md	511d1278d25622c7a446db90e121c9a6b2acdeff23bcf1f1970d53cf0d4385aa	positive clock first jet
source	udt_native_radiative_current_energy_owner_audit_2026-08-15/EXTERNAL_REVIEW_ADJUDICATION.md	73c03b4e104153409a0ddd7cacfb53f0b5fd5b7e9711dea44a055f7f4b9a986f	accepted conditional energy ownership
source	udt_native_radiative_current_energy_owner_audit_2026-08-15/EXACT_DERIVATION.md	5db4ca8e43e5135f13d527d8efea34ad8c7ae5e854dd6653d455babdcc57f010	covector energy ratio derivation
source	udt_g201_primary_metric_phi_jet_regime_amplitude_2026-08-21/AUDIT_REPORT.md	02a072c80b0a9010080da8a6b1330ab8bc5d366aac7271c393e7a98921c6fa2d	angular phi-jet amplitudes
source	udt_g243_reciprocal_sne_radial_spline_freeze_2026-08-24/EXACT_DERIVATION.md	f7cdd6fb3d2df5cb986c902f0c95bde6f44a55d0342cc13be206bcb350c5343f	direct reciprocal redshift orientation
source	udt_g257_gr_quiet_limit_embedding_audit_2026-08-25/AUDIT_REPORT.md	ad4135a3d4dd52bb6c1229695b341957a1066659e00beffd737b7fa2b0c0e82c	bounded GR quiet comparator
source	udt_g259_metric_only_parent_operator_fork_classification_2026-08-25/EXACT_DERIVATION.md	b133061497de1d86ff790f9c913fa387a876b49a0ae05a2d726027104232bb16	geometric mass aspect and residual identities
source	udt_g260_gr_quiet_angular_nondiscard_audit_2026-08-25/AUDIT_REPORT.md	a28ee2332cf3e14e619c0c332339079605ca81e566d7513b0caa2e29af67d102	full metric angular trace identity
source	udt_g261_universal_metric_coupling_parent_operator_ownership_2026-08-25/AUDIT_REPORT.md	25448d5586d268cfec20b403ff77b6d344903b5d9974fb3376900cba0578c125	W4 ownership ceiling
source	asymptotic_boundary_lineage_audit_2026-07-19/AUDIT_REPORT.md	bf10dc2d525e26723ee2eb2eaacf368ad8546e76b0a8d3ba0d3baa0b9639d11d	native mass and Xmax historical firewall
prereg	udt_g262_reciprocal_clock_acceleration_mass_aspect_xmax_bridge_2026-08-25/MAP.md	19e4c378fc003b63e1d9ddd37a112c5b6f7f2cf70f43b5133ebd0f91d13b6baf	whole-frame map
prereg	udt_g262_reciprocal_clock_acceleration_mass_aspect_xmax_bridge_2026-08-25/PREREGISTRATION.md	30abe8a5ac6fe5381ce5d64a241bba13e1c9e7b54a35469bb6a4eb61c20c81ca	frozen tests and landing ceiling
prereg	udt_g262_reciprocal_clock_acceleration_mass_aspect_xmax_bridge_2026-08-25/PREMISE_LEDGER.tsv	bbefdf012d48bbe484299e2c99af268e65e7c4d0e51741d2579cf948b2b8da97	premise scope
prereg	udt_g262_reciprocal_clock_acceleration_mass_aspect_xmax_bridge_2026-08-25/PREREGISTRATION_EXECUTION_NOTE.md	03a090144a91a00e903c098e0add1dd21809a7c2140707ad395210deb4771129	pre-execution clock-energy arrow repair
