premise_id	preregistered_stamp	final_ruling	effect
P01	WORKING_OWNER_MEANING	RETAINED	Xmax_typed_as_observer_pair_supremum
P02	DERIVED_LOGICAL_CONSEQUENCE	CONFIRMED	edge_requires_separate_geometry
P03	DERIVED_LOGICAL_NONIMPLICATION	CONFIRMED	no_center_from_diameter
P04	WORKING_REQUIRED_SYMMETRY	RETAINED	pair_exchange_only
P05	OPEN	REMAINS_OPEN	observer_domain_not_invented
P06	OPEN	REMAINS_OPEN	event_pairing_not_invented
P07	OPEN	REMAINS_OPEN	native_nonnegative_Dg_is_smallest_missing_object
P08	OPEN	REMAINS_OPEN	supremum_used
P09	OPEN	REMAINS_OPEN	countermodels_leave_topology_unselected
P10	OPEN	REMAINS_OPEN	WRL_X_global_Xmax_join_not_promoted
P11	REJECTED_AS_AUTOMATIC_CONSEQUENCE	CONFIRMED	seal_may_have_other_origin
P12	WORKING_TO_REGRADE	REGRADED_CONDITIONAL	local_WRL_limit_survives_global_statement_open
P13	WORKING_TO_REGRADE	REGRADED_UNIQUE_CONDITIONAL	1D_projective_only_not_general_pair_distance
P14	WORKING_OWNER_MEANING	RETAINED_WEAK_FORM	global_diameter_common_strong_per_observer_reach_open
P15	OBSERVED	UNCHANGED	no_numeric_use
P16	OPEN	REMAINS_OPEN	no_density_geometry_law
P17	OPEN	REMAINS_OPEN	no_action_source_boundary_mass_promotion
P18	REJECTED_AS_DERIVATION	RESPECTED	no_external_field_equation
P19	IMMUTABLE	RESPECTED	overlay_only
P20	OUT_OF_SCOPE	RESPECTED	no_GPU_density_matter_or_time_live_solve
