candidate_id	path	classification	current_authority_effect	evidence_basis	base_git_blob	base_sha256
X0002	HANDOFF.md	RELATIONAL_COMPATIBLE	RETAIN_WITH_PREMISE_STAMP	current_control_requires_correction_overlay	f4b0a1e0edc4a70eb69d81882a513b3fd21ce95c	68ff8553ec327f8773d596b620eab970cd0bbd6663e692837af6aad1f4517f69
X0004	INDEX.md	RELATIONAL_COMPATIBLE	RETAIN_WITH_PREMISE_STAMP	current_control_requires_correction_overlay	dfbc2cc45b4070559a8c18196dec78581a6030d1	e7723735426bdc5e619d41be361a76b49de5ab9ddd53bb7ee00be0f63cb86567
X0005	LIVE.md	RELATIONAL_COMPATIBLE	RETAIN_WITH_PREMISE_STAMP	current_control_requires_correction_overlay	229cb666d768e5227e6e2ab0d357b4a7c5e1ca7d	ec6fc2b65c1a338eddd4a339e9212de7542ae80dba9c8e5ee36f3a962512850d
X0007	NEGATIVES_REGISTRY.md	RELATIONAL_COMPATIBLE	RETAIN_WITH_PREMISE_STAMP	frame_level_centered_bearing_already_retracted	71c7cae1f659c40636537db211311f8bdb972025	981786b260b2671fdd66638b4b64d9c40a0994c1a1e09bb33f461751593d7cdc
X0008	UDT_ELEGANT_FRAME.md	ASYMPTOTIC_LIMIT_COMPATIBLE	RETAIN_CONDITIONAL	projective_1D_law_requires_scope_regrade	68af4e4954563faee3679e12b3480675da5efd99	4ce2f13400c0bc4e82ae3fcbc256f9c3addba259cdb79ba1892f1bc801b33f6a
X0019	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	RELATIONAL_COMPATIBLE	RETAIN_WITH_PREMISE_STAMP	current_control_requires_correction_overlay	64b419c5849586de147a4f4fe040e18365521aed	4cd1f8d674c594f07d1667fc419d9ff977dea1a2c0c59292cf44914889970b7f
X0021	UDT_XMAX_STATUS_CLARIFICATION_2026-07-15.md	RELATIONAL_COMPATIBLE	RETAIN_WITH_PREMISE_STAMP	current_control_requires_correction_overlay	6b01ad9424a26c549a970fbcac9cd6f011cabe09	bd82e07c252fa3aa055e9e4029b964f8a4e415fd50097dd5cec8a6ba928850a1
X0022	angular_derivative_weight_selector_2026-07-20/AUDIT_REPORT.md	SCALE_ONLY_UNAFFECTED	RETAIN_UNCHANGED	dimensional_or_common_homothety_use	ddd5b965f7c637bf558005bf07f97cb5afeb93c4	26d5b09bbfac932c3982d6c1bc44e53ff6e9c901f5ae533b86f496bb6649de50
X0034	angular_derivative_weight_selector_2026-07-20/STATUS_LEDGER.tsv	SCALE_ONLY_UNAFFECTED	RETAIN_UNCHANGED	dimensional_or_common_homothety_use	f99f808a46a78280cfb12031de3d58693afd551f	7610f0eef3b5f05bead9e5c969317dbfd3db1d57bd3348d7d7346e298403f37b
X0054	asymptotic_boundary_lineage_audit_2026-07-19/AUDIT_REPORT.md	LOCAL_X_DISTINCT	RETAIN_LOCAL_RESULT_SEPARATE_GLOBAL_ID_OPEN	WRL_or_local_boundary_scale	c9d732f0a1104a04bbcf945abf76ae86d12b1b89	bf10dc2d525e26723ee2eb2eaacf368ad8546e76b0a8d3ba0d3baa0b9639d11d
X0067	asymptotic_boundary_lineage_audit_2026-07-19/STATUS_LEDGER.tsv	LOCAL_X_DISTINCT	RETAIN_LOCAL_RESULT_SEPARATE_GLOBAL_ID_OPEN	WRL_or_local_boundary_scale	fd2c981e9c7280fbfea5e751a2c11dcea5f54aef	8d227adc2463acbabe3367b84240d7cbc31f49f7f84bbb7a89b2e95371407221
X0076	boundary_bootstrap_representative_selector_audit_2026-07-19/AUDIT_REPORT.md	BOUNDARY_DEPENDENT	CONDITIONS_CHANGED_IF_XMAX_WAS_SOLE_BOUNDARY_SOURCE	requires_surface_seal_or_variation_data	6d4fd032d53821ec6c3fdec8a36a9e9ba80a8a5d	5b9fd3563e02ecd8907e0ac632412e3bb1784893c1a66ff2812724f23c71d25d
X0088	boundary_bootstrap_representative_selector_audit_2026-07-19/STATUS_LEDGER.tsv	BOUNDARY_DEPENDENT	CONDITIONS_CHANGED_IF_XMAX_WAS_SOLE_BOUNDARY_SOURCE	requires_surface_seal_or_variation_data	42f3d307b73d797b3f4d85dfe357acfc1c49a4b5	89896cd868883ebc8ba1cd6176119344c4f3d8dcb9ef6f0810e356c9e1e4e2e4
X0116	c2_finite_cell_boundary_variation_2026-07-20/AUDIT_REPORT.md	BOUNDARY_DEPENDENT	CONDITIONS_CHANGED_IF_XMAX_WAS_SOLE_BOUNDARY_SOURCE	requires_surface_seal_or_variation_data	4b8166c38ecbeae00476027c6f200749a0f3442c	6e9e21f806deb876e3fb63e815e0b0afd2434c8dc5c19686e8c6ab68dd9b8600
X0123	c2_finite_cell_boundary_variation_2026-07-20/STATUS_LEDGER.tsv	BOUNDARY_DEPENDENT	CONDITIONS_CHANGED_IF_XMAX_WAS_SOLE_BOUNDARY_SOURCE	requires_surface_seal_or_variation_data	32439b58bc10fd606d2511272efa26754ca8a860	a4ae851e08b79b52e8cecf4b1f3f7cefebe394c4a3110500a6b0871f7ee3737c
X0169	clock_curvature_selector_audit_2026-07-19/AUDIT_REPORT.md	LOCAL_X_DISTINCT	RETAIN_LOCAL_RESULT_SEPARATE_GLOBAL_ID_OPEN	WRL_or_local_boundary_scale	494058b3301577656f5ff952e58df305849ccbc7	4b41149cabf6ceb735c6a5b43847c0434572ecf19b8cd386d29ad12a7536de0a
X0172	clock_curvature_selector_audit_2026-07-19/STATUS_LEDGER.tsv	LOCAL_X_DISTINCT	RETAIN_LOCAL_RESULT_SEPARATE_GLOBAL_ID_OPEN	WRL_or_local_boundary_scale	01eb120e0edbfc6f715b27d212adcb4168776fba	2e5c5f93db6519d6a1cd3cbc62ec38cad99b1b84e09ba6f5caed5289dfee0fe3
