gate_id	mutation_or_failure	required_disposition
F01	one_supplied_lambda_dropped	REJECT
F02	nonzero_twist_silently_set_to_zero	REJECT
F03	incompatible_scalar_jets_used	REJECT
F04	lambda_minus_one_leafwise_flatness_promoted_to_complete_flatness	REJECT
F05	local_curvature_horizontality_called_global_descent	REJECT
F06	vertical_holonomy_ignored	REJECT
F07	abstract_parallel_quotient_conflated_with_canonical_Hopf_tangent_descent	REJECT
F08	proper_nontrivial_connected_reduction_of_SO2_invented	REJECT
F09	simply_connected_completion_said_to_select_phi_or_lambda	REJECT
F10	off_shell_F_GENERIC_witness_called_field_equation	REJECT
F11	R17_equation_owner_claimed_without_exact_source	REJECT
F12	flat_or_descended_sublocus_called_physical_branch	REJECT
F13	isometric_connection_called_physical_nonisometric_arrow	REJECT
F14	bounded_stationary_result_generalized_to_time_live_or_other_completions	REJECT
F15	downstream_physics_inferred	REJECT
F16	frozen_source_identity_changed_or_dropped	REJECT
