path	artifact_class	primary_alias_occurrences	alias_occurrences	ownership_term_occurrences	explicit_nonowner_occurrences	disposition	blob	sha256
AGENTS.md	CURRENT_CONTROL_OR_ORIENTATION	4	7	2	4	CURRENT_POINTER_OR_GUARD_NOT_AN_EQUATION_OWNER	9de50dbe8ef55c41a2112792d3cfc46071eb1c90	181f35a7560b2424442f905c40683e38184d8252244f81dcc70ff531dc23288e
CURRENT_RESEARCH_PROGRAM.md	CURRENT_CONTROL_OR_ORIENTATION	4	9	5	3	CURRENT_POINTER_OR_GUARD_NOT_AN_EQUATION_OWNER	7e79a5e3232a4dddb6b8ae59c69fc968465c4548	3ef90cc98ea340bf6ba6e6b57a8ac245248cd966d9798566b653f42de3ea478a
CURRENT_SCIENTIFIC_PREMISES.md	CURRENT_CONTROL_OR_ORIENTATION	15	26	5	6	CURRENT_POINTER_OR_GUARD_NOT_AN_EQUATION_OWNER	58b5eeb7f66fc92dee90f7738902b94b4766d4e4	dd7591e7d47d3c28e2302b0a68fc0de3e94a2150fd31be684dc9fbfdf6393f11
CURRENT_SCIENTIFIC_PREMISES.tsv	CURRENT_CONTROL_OR_ORIENTATION	13	15	14	8	CURRENT_AUTHORITY_EXPLICITLY_LEAVES_R17_ONSHELL_AND_BRANCH_SELECTION_OPEN	05108e3644a28c428160c44d10184d8fa78dd007	7a0a647b2b343c9a4810622fa30f5432abdbf4b73e94aba3e037a5f0d5b16a12
HANDOFF.md	CURRENT_CONTROL_OR_ORIENTATION	12	22	3	4	CURRENT_POINTER_OR_GUARD_NOT_AN_EQUATION_OWNER	77370fe9c78acf6e52cbaf97f43d9dc8e197e3e7	b8fc3cc8637b6d90cdb99f49fed2bd1f00180868a784168c60b2a34ac13a9854
INDEX.md	CURRENT_CONTROL_OR_ORIENTATION	8	16	4	4	CURRENT_POINTER_OR_GUARD_NOT_AN_EQUATION_OWNER	fb35a6e12b16c558089f26dbc4d42c1779241fdc	87ae4349bfda8011af3700c54bd3d6c4500a9263c91dbbcb58eb40add1703c6d
INFLIGHT_STATE.md	CURRENT_CONTROL_OR_ORIENTATION	5	7	0	0	CURRENT_POINTER_OR_GUARD_NOT_AN_EQUATION_OWNER	2ded8fb707ec2342f9bb35a9fea1d0a5ccec51c7	2b3bc84c803df2b76b171e128e14466511a63bd4a40c7ba2ae69c781a274e3e8
LIVE.md	CURRENT_CONTROL_OR_ORIENTATION	15	31	3	7	CURRENT_POINTER_OR_GUARD_NOT_AN_EQUATION_OWNER	7e61077961c1f6fc96d903d26da0e1b9fe46f3ea	1020d8d59f3699410eae00e2da6c5c1a42e84d7367c86a4996a8ff3989557c8b
MEMORY.md	CURRENT_CONTROL_OR_ORIENTATION	6	12	2	1	CURRENT_POINTER_OR_GUARD_NOT_AN_EQUATION_OWNER	5a0056400136fd67edc301d62078988d2cbc0f0a	ecdef70aa49e6b62887a73a6eb5e61fd61e574d5fbad9f974bcc2a7c312f3fa4
README.md	CURRENT_CONTROL_OR_ORIENTATION	5	9	2	4	CURRENT_POINTER_OR_GUARD_NOT_AN_EQUATION_OWNER	036fc3f21f540a630cd7b2177598bae977a9b2dc	77e3011dcc9b45b50e1d029de314924e72566189bf769ff714c3e30843d82254
angular_derivative_weight_selector_2026-07-20/SOURCE_ADJUDICATION.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	2	3	MENTIONS_EQUATION_OR_SELECTION_BUT_EXPLICITLY_OPEN_NEGATIVE_OR_OTHER_SCOPE	1a503cf957d1b20efb83cf75d958308f708e2602	41f68a0eed57ffa59831b4c9fc6996cbab2908c745e8a62709e03faf3b17dc29
bootstrap_csn_phi_angular_selector_2026-07-19/STATUS_LEDGER.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	0	2	REFERENCE_ONLY_NO_OWNERSHIP_TERM	d169c0ab5ed6d85d0e1bf7732dd2f11d6e65dbef	487fc2b4fed1e47b11fbe1c61325787a8bdb743227a8133f06dadfb66fc0c2ee
bootstrap_csn_phi_angular_selector_2026-07-19/verify_bootstrap_csn_phi_angular.py	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	1	2	MENTIONS_EQUATION_OR_SELECTION_BUT_EXPLICITLY_OPEN_NEGATIVE_OR_OTHER_SCOPE	7a141b84189092cf061665a45f0a87a2db152643	2e0c881e663b01930909682eb2246c718880a554eb82f3d0963dce0aa37f0e5d
