claim_id	claim	status	exact_scope	open_scope
S01	global_curvature_horizontality_iff_phi_constant	DERIVED	regular_smooth_stationary_R17_on_RxS3	local_patch_time_live_other_completions
S02	lambda_minus_one_compact_exception_closes_to_constant	DERIVED	compact_S3_positive_u	open_or_noncompact_domains
S03	flat_locus_B_lambda_zero	DERIVED	constant_phi_regular_twisted_family	physical_selection
S04	flat_root_counts_1_1_1_1_0_2	OBSERVED_EXACT_AND_NUMERICALLY_CROSSCHECKED	a=1_over_64_six_supplied_lambda	other_a_and_lambda
S05	abstract_parallel_quotient_descent_B_integer	DERIVED	2pi_Hopf_period_and_parallel_fiber_quotient	physical_meaning_of_quotient
S06	canonical_Hopf_tangent_descent_absent_regular	DERIVED	nonzero_twist_regular_spatial_slice	degenerate_boundary_and_other_connections
S07	complete_holonomy_trivial_or_full_SO2	DERIVED	simply_connected_RxS3_oriented_rank2_metric_connection	other_topologies_orientation_twists
S08	C01_C06_have_full_SO2_complete_holonomy	DERIVED_CONDITIONAL	supplied_nonconstant_offshell_witnesses	physical_or_on_shell_status
S09	manifest_backed_R17_source_selects_special_locus	OPEN_NO_OWNER_SHOWN	16_frozen_sources_plus_supporting_local_repo_census	repo_wide_independent_ownership_exhaustion_and_future_native_equation_or_completion_law
S10	flat_or_descended_locus_is_physical	NOT_DERIVED	classification_only	physical_branch_selection
S11	action_source_matter_bootstrap_Xmax_CMB_signalling_dynamics	OPEN_NOT_TESTED	outside_audit	complete_physics
