source_id	path	role
S01	CURRENT_SCIENTIFIC_PREMISES.tsv	G49 precedence and downstream guards
S02	udt_r17_path_labelled_connection_decomposition_audit_2026-08-10/EXACT_DERIVATION.md	complete connection curvature and descent seam
S03	udt_r17_path_labelled_connection_decomposition_audit_2026-08-10/DERIVATION_RESULT.json	machine-readable complete curvature
S04	udt_r17_path_labelled_connection_decomposition_audit_2026-08-10/GLOBAL_COMPATIBILITY_ATLAS.tsv	global classification parent
S05	udt_r17_path_labelled_connection_decomposition_audit_2026-08-10/NEXT_STEP.md	authorized bounded next question
S06	udt_r17_pair_leaf_normal_holonomy_audit_2026-08-10/EXACT_DERIVATION.md	leafwise connection period and winding data
S07	udt_r17_pair_leaf_normal_holonomy_audit_2026-08-10/HOLONOMY_CLASSIFICATION.tsv	leaf holonomy distinctions
S08	udt_r17_intrinsic_pair_foliation_integrability_audit_2026-08-10/EXACT_DERIVATION.md	global pair foliation and Hopf bundle
S09	udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/EXACT_DERIVATION.md	R17 off-shell witness and ownership cautions
S10	udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/CANDIDATE_UNIVERSE.tsv	C01-C08 registered parameters
S11	udt_twisted_s3_intrinsic_screen_cocycle_audit_2026-07-27/EXACT_DERIVATION.md	prior complete screen-connection ownership result
S12	udt_twisted_s3_intrinsic_screen_cocycle_audit_2026-07-27/CONNECTION_MIXING_ATLAS.tsv	prior connection mixing census
S13	udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27/EXACT_DERIVATION.md	finite-cell quotient and global descent cautions
S14	udt_r17_magnitude_to_grading_selection_audit_2026-08-10/EXACT_DERIVATION.md	complete-coframe conditional lambda ownership
S15	udt_global_relation_family_branch_classification_2026-08-10/EXACT_DERIVATION.md	complete-branch relation-family scope
S16	udt_global_relation_family_branch_classification_2026-08-10/GLOBAL_RELATION_FAMILY_CLASSIFICATION.tsv	R17 branch classification row
