catch_id	mutation	result
DROP_LAMBDA	DROP_LAMBDA	REJECTED
MUTATE_ROOT_COUNT	MUTATE_ROOT_COUNT	REJECTED
PROMOTE_C01_FLAT	PROMOTE_C01_FLAT	REJECTED
ALLOW_NONCONSTANT_HORIZONTAL	ALLOW_NONCONSTANT_HORIZONTAL	REJECTED
ERASE_CONTROLS	ERASE_CONTROLS	REJECTED
PROMOTE_LAMBDA1_DESCENT	PROMOTE_LAMBDA1_DESCENT	REJECTED
PROMOTE_CANONICAL_HOPF	PROMOTE_CANONICAL_HOPF	REJECTED
INVENT_INTERMEDIATE_HOLONOMY	INVENT_INTERMEDIATE_HOLONOMY	REJECTED
ALLOW_PROPER_REDUCTION	ALLOW_PROPER_REDUCTION	REJECTED
SELECT_MANIFEST_BACKED_R17_SOURCE	SELECT_MANIFEST_BACKED_R17_SOURCE	REJECTED
PROMOTE_REDUCED_HOLONOMY	PROMOTE_REDUCED_HOLONOMY	REJECTED
PROMOTE_OWNERSHIP_SOURCE	PROMOTE_OWNERSHIP_SOURCE	REJECTED
