premise_id	item	status	role	open_or_excluded
P01	R17_W01_C01_C06_complete_coframes	pinned-by-SUPPLIED_CONDITIONAL_SOURCE	bounded metric family	branch and on-shell selection open
P02	stationarity_T_phi_zero	pinned-by-SUPPLIED_CONDITIONAL_SOURCE	analytic family hypothesis	time-live excluded
P03	positive_regular_u_v_and_spatial_slice	pinned-by-SUPPLIED_CONDITIONAL_SOURCE	nondegenerate arena	null and rank-changing strata excluded
P04	lambda_six_values	free-and-explored	complete supplied screen-weight census	no value selected
P05	twist_a_positive_symbolic_then_1_over_64	pinned-by-SUPPLIED_CONDITIONAL_SOURCE	R17 twisted all-gate arena	a_zero retained as control only
P06	arbitrary_smooth_stationary_phi	free-and-characterized	complete compatible global jets	no field equation or desired profile
P07	complete_projected_normal_connection_and_F	pinned-by-G49	classification input	physical non-isometric ownership open
P08	completion_R_times_S3	pinned-by-INHERITED_R17_COMPLETION	global topology and compact spatial integration	other completions excluded
P09	fiber_period_convention	pinned-by-R17_LEAF_AUDIT	vertical holonomy gate	orientation sign free
P10	R17_equation_or_on_shell_owner	free-and-audited	selection ownership test	must not be inferred from a witness
P11	action_source_matter_bootstrap_Xmax_CMB_dynamics	EXCLUDED	downstream physics	no inference authorized
