parent_claim_id	parent_wording	exact_algebra_status	corrected_physical_status	reason
R01	static_coordinate_observer_clock_factor_sqrt_A	ALGEBRA_SURVIVES	WITHDRAW_STATIC_OBSERVER_LANGUAGE	sqrt_A_is_a_relational_centered_chart_clock_readout_not_a_privileged_congruence
R02	static_coordinate_light_slope_dr_dt_plusminus_cA	ALGEBRA_SURVIVES	WITHDRAW_AS_OBSERVER_MOTION	r_is_observer_centered_separation_and_the_slope_is_a_chart_null_relation
R03	static_proper_acceleration_diverges	ALGEBRA_SURVIVES	CONDITIONAL_FIXED_R_CONGRUENCE_ONLY	fixed_r_congruence_is_not_the_universal_observer_family
R04	r_equals_X_is_frame_invariant_null_surface	ALGEBRA_SURVIVES_IN_ONE_TENSOR_GEOMETRY	WITHDRAW_CROSS_OBSERVER_INVARIANCE	local_coframes_preserve_the_surface_but_distinct_centered_observer_charts_are_not_supplied
R05	regular_null_crossing_observer	ALGEBRA_SURVIVES	WITHDRAW_PHYSICAL_OBSERVER_INTERPRETATION	the_curve_is_only_a_manifold_causal_curve_without_an_observer_composition_map
R06	regular_timelike_crossing_observer	ALGEBRA_SURVIVES	WITHDRAW_PHYSICAL_OBSERVER_INTERPRETATION	the_curve_is_only_a_manifold_causal_curve_without_an_observer_composition_map
R07	metric_does_not_make_X_uncrossable	OVERBROAD	WITHDRAW	the_metric_allows_manifold_extension_but_the_same_centered_clock_ruler_polarization_cannot_continue
R08	local_moving_observers_form_SO_plus_1_1	ALGEBRA_SURVIVES	WITHDRAW_GLOBAL_OBSERVER_LANGUAGE	SO_plus_1_1_is_the_local_orthonormal_coframe_group
R09	accelerating_observer_eta_t_r	ALGEBRA_SURVIVES	WITHDRAW_PHYSICAL_ACCELERATION_RESPONSE	a_varying_coframe_changes_connection_components_but_not_the_metric_or_curvature
R10	acceleration_does_not_manufacture_curvature	ALGEBRA_SURVIVES_EXACTLY	RETAIN_PURE_FRAME_SCOPE	does_not_test_a_physical_acceleration_induced_metric_response
R11	angular_obstruction_to_global_reciprocity	ALGEBRA_SURVIVES	REFINE_TO_CANDIDATE_REJECTION	the_old_constant_depth_shift_is_not_a_recentered_observer_chart
R12	global_equivalence_of_observer_centered_X_spheres_open	STATUS_SURVIVES	OPEN_REQUIRES_RELATIONAL_COMPOSITION	standard_overlapping_WRL_charts_cannot_recenter_because_scalar_invariants_fix_r
R13	all_finite_local_boosts_preserve_cone	ALGEBRA_SURVIVES	DERIVED_LOCAL_COFRAME_ONLY	not_a_complete_frame_transformation
R14	X_is_only_a_horizon_not_a_positional_limit	OVERBROAD	WITHDRAW	A_zero_is_the_limit_of_the_admissible_centered_clock_ruler_polarization
R15	native_mass_barrier_not_derived	STATUS_SURVIVES	OPEN	e_to_phi_is_an_observational_readout_not_a_native_invariant_matter_mass
