catch_id	mutation	expected_result	reason
K01	label_mathematical_EF_curve_physical_crossing_observer	FAIL	no_observer_centered_transition_map
K02	label_fixed_WRL_center_universal_cosmic_center	FAIL	no_preferred_frame_owner_premise
K03	label_local_SO_plus_1_1_boost_global_recenter	FAIL	local_basis_change_is_not_observer_composition
K04	label_regular_extension_selected_global_completion	FAIL	topology_boundary_and_second_cell_open
K05	label_common_Xmax_numerically_derived	FAIL	common_X_is_owner_conditional_and_scale_open
K06	label_e_to_phi_native_invariant_mass	FAIL	native_matter_functional_open
K07	label_varying_eta_new_curvature	FAIL	d_squared_eta_equals_zero
K08	import_GR_acceleration_gravity_equivalence	FAIL	not_a_UDT_derivation
K09	keep_same_clock_ruler_roles_for_A_negative	FAIL	g_tt_and_g_rr_signs_swap
K10	extend_fixed_tensor_center_no_go_to_all_relational_metrics	FAIL	no_go_scope_is_standard_overlapping_WRL_charts
K11	call_angular_shift_failure_refutation_of_frame_reciprocity	FAIL	only_candidate_map_refuted
K12	treat_r_as_signed_absolute_position	FAIL	r_is_nonnegative_relational_separation
K13	let_uniform_motion_physically_warp_invariant_cone	FAIL	owner_inertial_frame_premise_and_local_metric_preservation
K14	call_parent_static_congruence_all_observers	FAIL	fixed_r_congruence_is_not_global_observer_family
K15	remove_distinct_center_scalar_incompatibility	FAIL	R_and_K_are_injective_in_positive_r
K16	promote_X_boundary_to_complete_global_topology	FAIL	only_same_polarization_centered_domain_limit_derived
K17	call_manifold_extendibility_physical_crossability	FAIL	category_error
K18	call_accelerated_coframe_physical_metric_response	FAIL	response_law_absent
