source_id	path	role	authority_limit
S01	AGENTS.md	binding_method_and_metric_purity	cannot_supply_physics_result
S02	udt_premise_reset_audit_2026-07-19/OWNER_MEANING_LEDGER.tsv	owner_meanings_and_Xmax_status	correction_overlay_not_complete_metric
S03	udt_premise_reset_audit_2026-07-19/SEMANTIC_CONFLICT_LEDGER.tsv	prior_frame_conflict	physical_frame_interpretation_withdrawn
S04	udt_reciprocal_c_metric_meaning_audit_2026-07-22/PREREGISTRATION_OWNER_CLARIFICATION.md	no_preferred_frame_clarification	no_observer_composition_law
S05	udt_reciprocity_regime_angular_center_audit_2026-07-22/PREREGISTRATION.md	macro_frame_and_angular_scope	no_extreme_regime_or_micro_theorem
S06	udt_three_reciprocity_delta_k_audit_2026-07-23/PREREGISTRATION.md	three_reciprocity_distinction	no_join_to_complete_metric
S07	udt_xmax_dilation_asymptote_correction_2026-07-23/AUDIT_REPORT.md	WRL_profile_and_Xmax_asymptote	conditional_WRL_and_mass_open
S08	udt_xmax_dilation_asymptote_correction_2026-07-23/STATUS_LEDGER.tsv	exact_parent_statuses	no_global_scale_promotion
S09	udt_wrl_xmax_lightcone_frame_audit_2026-07-23/AUDIT_REPORT.md	parent_algebra_and_interpretation_to_regrade	frozen_historical_evidence
S10	udt_wrl_xmax_lightcone_frame_audit_2026-07-23/STATUS_LEDGER.tsv	parent_claim_rows_to_regrade	frozen_historical_evidence
S11	udt_wrl_xmax_lightcone_frame_audit_2026-07-23/DERIVATION_RESULT.json	parent_exact_outputs	frozen_historical_evidence
S12	udt_wrl_xmax_lightcone_frame_audit_2026-07-23/PRIOR_WORK_REGRADE.tsv	older_frame_scope	frozen_historical_evidence
S13	udt_metric_to_frontier_reference_2026-07-22/REFERENCE.md	current_navigation_synthesis	cannot_overrule_cited_evidence
S14	asymptotic_boundary_lineage_audit_2026-07-19/AUDIT_REPORT.md	regular_extension_and_mass_open	prior_static_interpretation_regraded
S15	xmax_accelerating_finite_cell_cartan_2026-07-19/AUDIT_REPORT.md	pure_frame_acceleration_comparison	declared_representative_only
S16	CANON.md	WRL_scope_appendices	Charles_only_canonizes
