item	status	use	consequence
Universal_Reciprocity_DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE	active_bounded_tracefree_response	not_derived_or_canon
quiet_GR_and_Local_Metric_Sufficiency	OWNER_ADOPTED_PROVISIONAL_POSTULATES	bounded_metric_only_response_constitution	matter_and_full_extension_open
Ric_equals_Lambda_g	DERIVED_CONDITIONAL_IN_BOUNDED_ARENA	active_local_evolution_equation	Lambda_connected_constant_not_selected
G331_weighted_contact_geometry	DERIVED_CONDITIONAL	complete_spatial_metric_and_Ricci_projector	weights_and_topology_supplied_not_selected
G332_gamma_K_family	EXTERNALLY_ACCEPTED_DERIVED_CONDITIONAL_BOUNDED	complete_lawful_initial_fields	C_Lambda_branch_and_datum_supplied
G333_G336_pair_response_chain	EXTERNALLY_ACCEPTED_MIXED_BOUNDED	q0_s1_double_silent_and_carry_inputs	physical_germ_population_open
Gaussian_normal_unit_lapse_zero_shift	CHOSE_PRESENTATION_CONTROL	third_normal_jet	no_global_chart_or_physical_clock_duration
inherited_Lie_carried_direction	CHOSE_GERM_PRESENTATION_CONTROL	primary_exact_third_jet	not_universal_physical_carry
positive_weights_points_roots_directions	FREE_AND_EXPLORED	solution_space_census	must_not_be_filtered_by_sign_or_shape
tensor_Ricci_variation_and_exact_arithmetic	IMPORTED_MATHEMATICAL_METHOD	derivation_and_verification	no_imported_physics
arbitrary_higher_pair_carry	OMITTED_OPEN	ownership_boundary	no_all_germ_claim
topology_Hopf_orbit_period	OMITTED_NOT_LOAD_BEARING	none	no_topology_selection
source_action_matter_mass	OMITTED_OPEN	none	no_matter_or_mass_claim
observations_scale_Xmax	OMITTED_OPEN	none	no_fit_calibration_or_scale_claim
finite_time_stability_occupancy	OMITTED_OPEN	none	initial_third_jet_only
