item	status	note
G337_inherited_double_silent_third_jet	EXTERNALLY_ACCEPTED_DERIVED_CONDITIONAL_BOUNDED_AFTER_PREREGISTERED_R1_REPAIR	owned_by_complete_initial_fields
sealed_replay_source_layout	EXTERNALLY_ACCEPTED_REPAIRED	direct_sources_layout_resolution_and_byte_exact_gitless_aggregate_replay
complete_initial_field_ownership	YES_CONDITIONAL	gamma_K_spatial_jets_and_active_equation_determine_initial_s2
pointwise_R_b_C_Lambda_mu_ownership	REFUTED	exact_lawful_twins_share_tuple_but_have_different_s2
spatial_jet_dependence	DERIVED_CONDITIONAL	Ricci_variation_retains_second_spatial_derivatives_of_K
homogeneous_equal_weight_response	DERIVED_CONDITIONAL	s2_equals_8_b_mu_on_strict_double_silence
G332_roots	RETAINED	third_response_reverses_sign_in_homogeneous_control
finite_boost_pair_readout	DERIVED_CONDITIONAL	fixed_boost_third_jet_exact_terminal_zero_boost_blind
arbitrary_higher_germ_carry	OPEN	inherited_Lie_carry_only
finite_time_stability_history_selection	OPEN	initial_third_jet_only
topology_matter_mass_observation_scale_Xmax	OPEN	not_inputs_or_outputs
Universal_Reciprocity_DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE	not_derived_or_canon
G312_premises	OWNER_ADOPTED_PROVISIONAL_POSTULATES	bounded_active_arena
