family	candidate_count	members
CANON_PROVENANCE	3	AUDIT.md;external_input_notes.md;solution_space_map.md
CURRENT_FOUNDATION_CROSS_ERA	3	F4_seal_boundary_MAP.md;MATTER_SECTOR_MAP_new_foundation.md;QUANTIZATION_MAP.md
FORMAL_FROZEN_EVIDENCE	58	F0_SYSTEMATIC_AUDIT_results.md;F2_closure_results.md;F2_matter_action_forcedness_results.md;F5_critical_universe_closure_results.md;F6_postulate_A_ledger_results.md;F7_scale_bridge_native_results.md;F8_metric_choices_results.md;angular_completeness_results.md;angular_lagrangian_results.md;angular_lagrangian_verifier_results.md;branchP_solver_floor_xcontinuation_results.md;cognitive_corral_triggers_results.md;exterior_cavity_results.md;kap8_characterization_complete_solver_results.md;measure_fork_results.md;n_derivation_results.md;native_dilation_weight_derivation_results.md;native_stabilizer_results.md;native_stabilizer_verifier_results.md;ns_scan_results.md;ns_scan_verifier_results.md;open_domain_discreteness_results.md;p1_purity_harness_results.md;p2_matter_fullmetric_results.md;p2_operator_from_action_results.md;p3_aphi_FIX_results.md;p3_aphi_coupling_results.md;p3_discipline_skills_results.md;p4_cross_model_verify_results.md;p4_time_live_results.md;p5_live_state_shrink_results.md;p5_solver_survey_results.md;p_domain_closure_attempt_results.md;pde_p1_results.md;phase1_geon_results.md;phase2a_rotation_results.md;phase2b_ensemble_results.md;relativistic_metric_rederivation_results.md;seal_junction_condition_results.md;sector_weight_spectral_probe_results.md;sourced_second_jet_results.md;tier_d_round2_results.md;tier_d_round3_results.md;udt_field_equations_derivation_results.md;udt_gravity_sector_rederivation_results.md;w2_uncovering_results.md;w3_results.md;w4_results.md;w5_results.md;w6_results.md;w7_results.md;w8_results.md;w_alg_results.md;w_stiffness_results.md;w_whole_results.md;weld_interface_mode_results.md;weld_two_sided_results.md;winding_amplitude_gauge_derivation_results.md
LIVE_GOVERNANCE_AND_TEST_INFRA	3	P1_PURITY_HARNESS_MAP.md;SOLVER_INTEGRITY_UPGRADES_SPEC.md;TRACTABILITY_ROUTES.md
PERMANENT_CONTROL	10	CANON.md;CLAUDE.md;COGNITIVE_CORRAL_TRIGGERS_SETUP.md;CROSS_MODEL_VERIFY.md;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;HANDOFF.md;INDEX.md;LIVE.md;NEGATIVES_REGISTRY.md;PROVENANCE.md
PRE_NATIVE_P2_P4_VERIFIER_FAMILY	1	p4_VERIFIER.md
PRE_NATIVE_REDIRECT_STUBS	2	D1_FIX_DESIGN.md;p1_VERIFIER.md
PRE_NATIVE_STEP2_FAMILY	1	STEP2_timelive_matter_MAP.md
R0_ACTIVE_CROSS_ERA	8	HANDOFF_ARCHIVE.md;STATE.md;dimension_ladder_null_audit.md;legacy_hadron_survivor_filter.md;mass_emergence_canonical_geometry.md;negative_phi_native_geometry.md;particle_spectrum_native_geometry.md;udt_canonical_geometry.md
SOFT_CLEAN_FOUNDATION_MAP	1	matter_amplitude_native_MAP_2026-06-29.md
SOFT_CLEAN_TECHNIQUE	1	GR_NUMERICS_RESEARCH_2026-06-29.md
SUPERSEDED_BUT_PATH_BLOCKED	8	P5e_proper_results.md;lepton_ladder_falsification_contract.md;matter_regrade_derived_operator_results.md;nonstationary_opener_results.md;p2_VERIFIER.md;p3_VERIFIER.md;scale_symmetry_bootstrap_analysis_results.md;weld_status_results.md
