path	first_commit_date	first_commit	last_commit_date_at_base	last_commit_at_base	last_commit_subject_at_base	git_blob_oid_at_base	sha256_at_base	size_bytes_at_base	selection_reason	r0_classification	current_frontier_target	forensic_occurrences	operational_occurrences	operational_root_references	hard_frozen_root_sources	runtime_or_unknown_root_sources	editable_root_sources	prohibited_dependency_edges	prohibited_dependency_categories	unresolved_dynamic_touches	destination	destination_collision_at_base	supersession_excerpt	classification	family	rationale	affirmative_evidence	move_authorized
AUDIT.md	2026-06-15	e97c765434c1fb3f3edbe37af33cec94182890de	2026-07-06	b108d492c324750b4e3fd7084ea543b4cd54a786	Live macro-spine provenance pass (3 classifiers + adversarial): no quarantine, N5d unaffected.	6246eafd70861645fce959b4e7fb9c66bae3f07e	0e36df7cbd2e2198fa1a9785f6c8d9b5054fc42b24a1dfb1a44244ca331942ec	38255	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	MOVE_CANDIDATE	NO	345	227	58	CANON.md;native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt	legacy/root_oneoffs_2026-07-01/native_weld_status_derivation.py;native_action_sync_audit_2026-07-17/round7_transcript.txt;native_action_sync_audit_2026-07-17/round8_transcript.txt;native_action_sync_audit_2026-07-17/round9_banked_transcript.txt;rescued_workspaces/2026-06-11/tmp_loose_scripts/s74_004_retire.py	HANDOFF_ARCHIVE.md;STATE.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;archive/LIVE_2026-07-06_EOD1_readout_provenance_arc.md;archive/LIVE_historical_frontier_through_2026-07-08.md;archive/RECON_A_cosmology.md;archive/macro_contamination_map.md;archive/udt_active_results.md;grok/quarantine_free_DA/macro_sector_fork_resolution.md;macro_spine_provenance_2026-07-06.md;pre_native_era_census.md;weld_status_results.md	0	-	0	archive/pre_2026-07-01/AUDIT.md	NO	> ~1004) is SUPERSEDED WITHIN THIS DOC: the ★★★ TT firewall REFUTES the cutoff fix; the surviving live claim is the	ACTIVE_CROSS_ERA	CANON_PROVENANCE	Surviving native operator claim remains canon provenance; only the dispatch headline is conditions-changed.	CANON.md:63-64;macro_spine_provenance_2026-07-06.md:38,52-54	NO
CANON.md	2026-06-10	161325a0d866ddfa793a85caf21cf19a152671c9	2026-07-09	564ac41c15bb39b778d5b3181eefaf9e903bb275	Walk-back: dS native closed any α; Thread B cell charter	a67e518b623c8715679b26d5736c7409e3ffcae3	5d99c0ba09fcee0429a34ac6b3dda4faff489b7d214b622fcbd286deb3785314	35011	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	CONTROL	NO	1376	566	517	F2_closure_results.md;F2_matter_action_forcedness_results.md;F5_critical_universe_closure_results.md;F7_scale_bridge_native_results.md;F8_metric_choices_results.md;UDT_F_POSTRETURN_AUDIT_AND_CODEX_TRANSITION_DISPATCH.md;UDT_NATIVE_ACTION_COLD_PACKET.md;UDT_NATIVE_ACTION_DERIVATION_DISPATCH.md;UDT_NATIVE_ACTION_STAGE2_A1_A6_SHA256SUMS_2026-07-18.txt;UDT_NATIVE_ACTION_STAGE2_LAUNCH_RECORD_2026-07-18.md;UDT_NATIVE_ACTION_STAGE2_RETURN_2026-07-18.md;UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md;UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md;codex_rehearsal_transcript.txt;n5d_stage2_MS_boundary_selector_audit_results.md;native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_final_adjudication_2026-07-18/PROVENANCE_FIREWALL.tsv;native_action_stage1_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage1_2026-07-18/arm_A/cold_output/UDT_NATIVE_ACTION_COLD_PACKET.md;native_action_stage1_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt;native_action_stage1_2026-07-18/arm_B/cold_output/UDT_NATIVE_ACTION_COLD_PACKET.md;native_action_stage2_2026-07-18/arm_A/D6_RETURN/D6.md;native_action_stage2_2026-07-18/arm_A/D6_RETURN/D6_DISCLOSURE_CENSUS.tsv;native_action_stage2_2026-07-18/arm_A/D6_RETURN/RECEIVED_A1_A6_SHA256SUMS.txt;native_action_stage2_2026-07-18/arm_A/LAUNCH_PROMPT.txt;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/D6_RETURN/D6.md;native_action_stage2_2026-07-18/arm_B/D6_RETURN/D6_DISCLOSURE_CENSUS.tsv;native_action_stage2_2026-07-18/arm_B/D6_RETURN/RECEIVED_A1_A6_SHA256SUMS.txt;native_action_stage2_2026-07-18/arm_B/LAUNCH_PROMPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt;node05_seal_parity_regrade_results.md;node_H1_hopfion_compactification_results.md;winding_amplitude_gauge_derivation_results.md	legacy/root_oneoffs_2026-07-01/topo_doubling_fork.py;native_action_sync_audit_2026-07-17/round1_transcript.txt;native_action_sync_audit_2026-07-17/round2_transcript.txt;native_action_sync_audit_2026-07-17/round3_transcript.txt;native_action_sync_audit_2026-07-17/round4_transcript.txt;native_action_sync_audit_2026-07-17/round5_transcript.txt;native_action_sync_audit_2026-07-17/round6_transcript.txt;native_action_sync_audit_2026-07-17/round7_transcript.txt;native_action_sync_audit_2026-07-17/round8_transcript.txt;native_action_sync_audit_2026-07-17/round9_banked_transcript.txt	AGENTS.md;CLAUDE.md;F4_seal_boundary_MAP.md;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;H4_N5_whole_cell_criticality_MAP.md;H4_backreaction_mass_MAP.md;HANDOFF.md;HANDOFF_ARCHIVE.md;INDEX.md;LIVE.md;MATTER_SECTOR_MAP_new_foundation.md;NEGATIVES_REGISTRY.md;README.md;REORGANIZATION_R0_PREREG_2026-07-18.md;STATE.md;UDT_H3_BOUNDARY_AUDIT_PATCH_THEN_F_DISPATCH.md;UDT_H3_BOUNDARY_VIRIAL_CLOSURE_BEFORE_F_DISPATCH.md;UDT_H3_CORRECTED_G_THEN_F_SEQUENCING_DISPATCH.md;UDT_RECIPROCAL_C_FOUNDING_POSTULATE_MAP.md;UDT_RECIPROCAL_C_FOUNDING_POSTULATE_VERIFY_DISPATCH.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;archive/LIVE_stability_stageD_microphysics_arc_2026-07-03_04.md;archive/LIVE_stage2_static_arc_2026-07-06.md;archive/LIVE_universe_cell_ladder_arc_2026-07-02.md;archive/M10_M11_object_identity_closure_results.md;archive/RECON_B_microphysics.md;archive/RECON_D_canon_negatives_weaknesses.md;archive/REORG_PLAN.md;archive/VISION_POST_POSTULATE.md;archive/macro_contamination_map.md;archive/native_action_chat_2026-07-14_15/UDT_BOOTSTRAP_BACKGROUND_CARRIER_COUPLING_DERIVATION_RESULTS.md;archive/native_action_chat_2026-07-14_15/UDT_BOOTSTRAP_BACKGROUND_CARRIER_COUPLING_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_BOOTSTRAP_BACKGROUND_CARRIER_COUPLING_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_COMMON_SCALE_MATTER_EMERGENCE_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_COMMON_SCALE_MATTER_EMERGENCE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_CSN_BOUNDARY_CHARGE_SELECTION_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_CSN_BOUNDARY_CHARGE_SELECTION_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_CSN_DIMENSIONLESS_ACTION_REFERENCE_BRANCH_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_CSN_GLOBAL_SCALE_SELECTION_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_CSN_GLOBAL_SCALE_SELECTION_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_CSN_ONE_MASS_GLOBAL_CALIBRATION_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_DEEP_POSITIONAL_RELATIVITY_POSTULATE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_DILATION_SUBSTRATE_ACTION_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_ELECTRON_CALIBRATION_BRIDGE_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_ELECTRON_CALIBRATION_BRIDGE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_FINITE_CELL_BOUNDARY_DERIVATION_RESULTS.md;archive/native_action_chat_2026-07-14_15/UDT_FINITE_CELL_BOUNDARY_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_GLOBAL_BOOTSTRAP_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_MACRO_MICRO_MATCHING_CLOSURE_DERIVATION_RESULTS.md;archive/native_action_chat_2026-07-14_15/UDT_MACRO_MICRO_MATCHING_CLOSURE_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_MACRO_MICRO_MATCHING_CLOSURE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_MUTUAL_DILATION_RESISTANCE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_FUNCTIONAL_STRUCTURE_DERIVATION_RESULTS.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_FUNCTIONAL_STRUCTURE_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_FUNCTIONAL_STRUCTURE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_METRIC_CURVATURE_DERIVATION_RESULTS.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_METRIC_CURVATURE_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_METRIC_CURVATURE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_C_CONFORMAL_ACTION_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_C_CONFORMAL_ACTION_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_LOOP_CLOSURE_MATTER_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_SMOOTH_BOOTSTRAP_SUBSTRATE_CLOSURE_DERIVATION_RESULTS.md;archive/native_action_chat_2026-07-14_15/UDT_SMOOTH_BOOTSTRAP_SUBSTRATE_CLOSURE_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_SMOOTH_BOOTSTRAP_SUBSTRATE_CLOSURE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_WRL_CONFORMAL_CARRIER_SCALE_CLOSURE_DERIVATION_RESULTS.md;archive/native_action_chat_2026-07-14_15/UDT_WRL_CONFORMAL_CARRIER_SCALE_CLOSURE_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_WRL_CONFORMAL_CARRIER_SCALE_CLOSURE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_WRL_OFFSHELL_PROVENANCE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_WRL_SCAFFOLD_NATIVE_ACTION_SEPARATION_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_WRL_SCAFFOLD_NATIVE_ACTION_SEPARATION_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_WRL_SOLUTION_SPACE_CLOSURE_VERIFY_DISPATCH.md;archive/theta_bc_provenance_results.md;archive/w8_catalog_problem.md;grok/quarantine_free_DA/macro_sector_fork_resolution.md;i_flow_hbar_clock_MAP.md;macro_universe_native_MAP.md;matter_carrier_provenance_audit_results.md;microphysics_after_concentric_failure_MAP.md;microphysics_reentry_omega_reframe_MAP.md;native_action_sync_audit_2026-07-17/round6_final.md;native_action_sync_audit_2026-07-17/round7_final.md;native_action_sync_audit_2026-07-17/round8_final.md;native_action_sync_audit_2026-07-17/round9_banked_final.md;native_hopfion_route_MAP.md;ponder_emergence_directions_2026-07-04.md;regrade_S2_defect_2026-07-04.md;scale_symmetry_bootstrap_analysis_results.md;simple_metric_L_wall_regularity_closure_results.md	16	MANIFEST;STARTUP	0	archive/pre_2026-07-01/CANON.md	NO	"cells do not evolve"") is CONDITIONS-CHANGED on those clauses: they"	PERMANENT_ROOT	PERMANENT_CONTROL	Registered permanent control/navigation ledger; R1B never moves it.	PERMANENT_ROOT_REGISTRY.tsv	NO
CLAUDE.md	2026-06-10	9c62dff56fe775016ef235dea63fb0ed1853a786	2026-07-10	c0a8bfad7b70692182f4f2c8099921dc1a3f03fc	Startup docs (deeper dress rehearsal fixes): LIVE pytest-fail warning + CLAUDE read-order	eae6e334fcf36c977ab571201ca9e2ed3a8d5020	25838399458a34573fb4bc9dd4a211de8142eabb682ba382822aad57ba019b45	24250	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	CONTROL	YES	788	198	197	UDT_F_POSTRETURN_AUDIT_AND_CODEX_TRANSITION_DISPATCH.md;codex_rehearsal_transcript.txt;cognitive_corral_triggers_results.md;ns_scan_results.md;p2_matter_fullmetric_results.md;p2_operator_from_action_results.md;p3_discipline_skills_results.md;p5_live_state_shrink_results.md;udt_gravity_sector_rederivation_results.md	.claude/hooks/corral_trigger.py;export_for_local_llm.py;legacy/root_oneoffs_2026-07-01/native_weld_interface_mode_spectrum.py;legacy/root_oneoffs_2026-07-01/native_weld_status_derivation.py;legacy/root_oneoffs_2026-07-01/offdiagIII_converge.py;legacy/root_oneoffs_2026-07-01/topo_classes_zoo.py;legacy/root_oneoffs_2026-07-01/topo_doubling_fork.py;legacy/root_oneoffs_2026-07-01/w3_dressed_spectra.py;legacy/root_oneoffs_2026-07-01/w4a_p1_existence.py;legacy/root_oneoffs_2026-07-01/w4a_p2_spectra.py;legacy/root_oneoffs_2026-07-01/w4b_evolib.py;legacy/root_oneoffs_2026-07-01/w5_arm2_lib.py;rescued_workspaces/2026-06-11/tmp_loose_scripts/agent_j_quick.py;rescued_workspaces/2026-06-11/tmp_loose_scripts/audit_r2.py;rescued_workspaces/2026-06-11/tmp_loose_scripts/s74_004_retire.py;rescued_workspaces/2026-06-11/tmp_loose_scripts/s74_claude_insert.py;rescued_workspaces/2026-06-11/tmp_loose_scripts/s74_wind_down_handoff_startup.py;rescued_workspaces/2026-06-11/tmp_loose_scripts/verify_alpha6.py	AGENTS.md;CLAUDE.md;COGNITIVE_CORRAL_TRIGGERS_SETUP.md;HANDOFF.md;HANDOFF_ARCHIVE.md;INDEX.md;LIVE.md;N5d_solver_build_plan.md;NEGATIVES_REGISTRY.md;PURSUIT_CHARTER_2026-07-04.md;REORGANIZATION_R0_PREREG_2026-07-18.md;SOLVER_INTEGRITY_UPGRADES_SPEC.md;STATE.md;STRUCTURE_HYGIENE.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md;archive/LIVE_stage2_static_arc_2026-07-06.md;archive/RECON_C_session.md;archive/RECON_D_canon_negatives_weaknesses.md;archive/REORG_PLAN.md;archive/complete_metric_sweep_setup.md;archive/depth_selector_VERIFIER.md;archive/depth_selector_breather_results.md;archive/ens_scan_results.md;archive/ens_scan_verifier_results.md;archive/fourth_component_sourced_results.md;archive/gravity_sector_local_reduction_results.md;archive/offdiagIII_results.md;archive/pre_2026-07-01/p1_offdiag_wiring_results.md;archive/pre_native_coupled/SOLVER_AUDIT_2026-06-29.md;archive/sealed_cavity_s2_results.md;archive/sparc_native_force_law_note.md;archive/udt_active_results.md;archive/udt_native_phi_law_MAP_results.md;archive/udt_validated_results.md;archive/w8_catalog_problem.md;archive/w_stiffness_push_declaration.md;archive/whole_metric_solve_MAP.md;derived_background_and_phi_coupling_DESIGN.md;simple_metric_session_self_audit_2026-07-09.md;stability_branch_follow_256_DECISION.md;threadB_WORKSTATION_DISPATCH.md;udt_canonical_geometry.md	64	FILE_PATH;STARTUP	0	archive/pre_2026-07-01/CLAUDE.md	NO	-	PERMANENT_ROOT	PERMANENT_CONTROL	Registered permanent control/navigation ledger; R1B never moves it.	PERMANENT_ROOT_REGISTRY.tsv	NO
COGNITIVE_CORRAL_TRIGGERS_SETUP.md	2026-06-27	06952144d186ebe271871f77e1decc6fe6da0b89	2026-06-27	06952144d186ebe271871f77e1decc6fe6da0b89	Cognitive-corral guardrails (Option A): DRIVER TRIGGERS + harness hooks + freshness + LLM export gate	9989eaea43c64a5b900102e4c3a5dc5fe3bda8a3	0d5a008470726a54745f5e35f94e27ef0d40554a9569b89d2e99a9c4e45f9fda	18833	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	CONTROL	NO	84	9	9	codex_rehearsal_transcript.txt;cognitive_corral_triggers_results.md;native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt	.claude/hooks/corral_trigger.py;export_for_local_llm.py	CLAUDE.md;pre_native_era_census.md	1	STARTUP	0	archive/pre_2026-07-01/COGNITIVE_CORRAL_TRIGGERS_SETUP.md	NO	keeps both from firing on superseded content. None reaches a genuinely-silent fork with no observable	PERMANENT_ROOT	PERMANENT_CONTROL	Registered permanent control/navigation ledger; R1B never moves it.	PERMANENT_ROOT_REGISTRY.tsv	NO
CROSS_MODEL_VERIFY.md	2026-06-23	636a44b1f8318e39853bca2cf429c649009105d3	2026-06-23	636a44b1f8318e39853bca2cf429c649009105d3	P4 cross-model verify: protocol + first use refines the e^{2phi} matter-weight call	95b60c08e0d55dcf2c3104fb9f14a130752cbff3	417bb036579bf4a333dab6a3da4c8cae73d61bf49ae8fe0f74b46df86d05e6fa	2839	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	CONTROL	NO	46	5	5	codex_rehearsal_transcript.txt;p4_cross_model_verify_results.md	-	.claude/skills/verifier-before-record/SKILL.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md	0	-	0	archive/pre_2026-07-01/CROSS_MODEL_VERIFY.md	NO	-	PERMANENT_ROOT	PERMANENT_CONTROL	Registered permanent control/navigation ledger; R1B never moves it.	PERMANENT_ROOT_REGISTRY.tsv	NO
D1_FIX_DESIGN.md	2026-06-29	5fe1a4475b0f4301cdc15f04b4a3a4d4056213a9	2026-07-06	a77d633023824250f8d97e865f774b5b49a2d7b5	Pre-native-era provenance census + organization (date-based, 2 adversarial passes).	15004b41cbc2d51fde874d6234d57702d0f9e709	57a4d86c84f5a042a9ff1ed739440e2648aafae6b5f962377e9c57481d78d964	281	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	ARCHIVE_CANDIDATE	NO	285	10	9	seal_matching_junction_results.md	galerkin_basis.py;p1_residual_general_einstein.py	archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md;archive/pre_native_coupled/PROVENANCE_AUDIT_2026-06-30.md	0	-	0	archive/pre_2026-07-01/D1_FIX_DESIGN.md	NO	> SUPERSEDED pre-native coupled-solver doc; the 2026-07-01 native operator retired its frame. This stub is a	HISTORICAL_SNAPSHOT	PRE_NATIVE_REDIRECT_STUBS	Root file is an intentional redirect stub to the archived original and is still named by frozen/code sources.	D1_FIX_DESIGN.md:1-3	NO
F0_SYSTEMATIC_AUDIT_results.md	2026-06-21	0c47ac8e1e2cfe870798ac1dbbb7f94e1aec53f2	2026-06-21	0c47ac8e1e2cfe870798ac1dbbb7f94e1aec53f2	F0 systematic foundational audit: complete + verifier-passed	a2d7ffd103dc82d41922abcf5320bc8c50410f74	3293eab3af0c76c62ee2351b7554c116d1351e87c4ce5115fb9824cc959b2b7d	17598	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	FROZEN_EVIDENCE	NO	56	8	8	F5_critical_universe_closure_results.md;F6_postulate_A_ledger_results.md	-	F4_seal_boundary_MAP.md;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;HANDOFF_ARCHIVE.md;archive/M10_M11_object_identity_closure_results.md;archive/M12_winding_bc_closure_results.md;archive/pre_2026-07-01/F1F3_closure_results.md	0	-	0	archive/pre_2026-07-01/F0_SYSTEMATIC_AUDIT_results.md	NO	gravity-side foundational VALUE pinned by fitting particle data (it superseded an	HARD_FROZEN	FORMAL_FROZEN_EVIDENCE	Formally frozen evidence at the fixed base; neither bytes nor path move in R1B.	reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NO
F2_closure_results.md	2026-06-21	e6e75af45a4311e4e0a975bfc2fffcf792729f4d	2026-06-21	e6e75af45a4311e4e0a975bfc2fffcf792729f4d	Completion Phase A batch 1: F1, F2, F3, F8 closures (verified CLEAN)	53531541b574ac240a579a280425adf471974553	976edc403b9bcb7be392dbe48ae67d3eef051ae46f0ff5e43c061a5e38b9ad35	24252	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	FROZEN_EVIDENCE	NO	79	2	2	-	-	archive/COMPLETION_PROGRAM.md;d1_angular_constants_native_rederivation.md	0	-	0	archive/pre_2026-07-01/F2_closure_results.md	NO	-	HARD_FROZEN	FORMAL_FROZEN_EVIDENCE	Formally frozen evidence at the fixed base; neither bytes nor path move in R1B.	reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NO
F2_matter_action_forcedness_results.md	2026-06-21	b72abebffecbfdcfbb247693d124115c66aaad06	2026-06-21	b72abebffecbfdcfbb247693d124115c66aaad06	Matter sector on the derived operator: coupling now PHYSICAL; F2 = minimal-but-not-unique (verified)	8f932eb8f1e6af4a83017bffeb0e82444875614a	1d1b852312615516910d489a67d9c9c8f445812678df19dbbe67e2b08cd2d1b2	20979	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	FROZEN_EVIDENCE	NO	134	25	25	F2_closure_results.md;native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt;winding_amplitude_gauge_derivation_results.md	-	FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;HANDOFF_ARCHIVE.md;STEP2_timelive_matter_MAP.md;archive/M10_M11_object_identity_closure_results.md;archive/native_action_chat_2026-07-14_15/UDT_DILATION_SUBSTRATE_ACTION_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_FINITE_CELL_BOUNDARY_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_GLOBAL_BOOTSTRAP_VERIFY_DISPATCH.md;d1_angular_constants_native_rederivation.md;matter_amplitude_native_MAP_2026-06-29.md;matter_carrier_provenance_audit_results.md;microphysics_reentry_omega_reframe_MAP.md	0	-	0	archive/pre_2026-07-01/F2_matter_action_forcedness_results.md	NO	-	HARD_FROZEN	FORMAL_FROZEN_EVIDENCE	Formally frozen evidence at the fixed base; neither bytes nor path move in R1B.	reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NO
F4_seal_boundary_MAP.md	2026-06-21	2235ef450e040db86c10b83ae66164596314fcc9	2026-07-18	3cd2a99e402bd69cf180ca15e4b1337635dd5837	Archive first provably safe R1A batch	90d9d0382facc61432f9d36b8670cbd9d9ed2f7b	7ea689de0fa792b63fa9246865925240311e119106a61aa5e89b958eed93f064	21130	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	MOVE_CANDIDATE	NO	93	3	3	node05_seal_parity_regrade_results.md;seal_junction_condition_results.md	-	i_flow_hbar_clock_MAP.md	0	-	0	archive/pre_2026-07-01/F4_seal_boundary_MAP.md	NO	-	ACTIVE_CROSS_ERA	CURRENT_FOUNDATION_CROSS_ERA	Finite-cell/seal boundary question remains an open native-action selector and is cited by formal frozen evidence.	F4_seal_boundary_MAP.md:1,10;UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	NO
