claim	status	scope	remaining_open
observer celestial direction sphere from g and U	DERIVED_CONDITIONAL	one supplied observer event and unit future U	observer population and physical history
normalized null generator k=U+n	DERIVED_CONDITIONAL	all local future directions	past orientation is a separate query orientation
local cone F(lambda,n)=Exp_o(lambda k)	DERIVED_CONDITIONAL	maximal metric exponential domain	global completeness cut aggregation and endpoint incidence
G188 D as angular differential of F	DERIVED_CONDITIONAL	vertex-normalized local null congruence	arbitrary nonvertex sheets
G244 H A C as induced cone-cut geometry	DERIVED_CONDITIONAL	regular constant-affine cuts	source catalogue and detector semantics
full nonlinear optical evolution	DERIVED_CONDITIONAL	self-adjoint two-screen tide from supplied metric	physical metric history
vertex trace versus trace-free tide classification	DERIVED_CONDITIONAL	local series only	finite-distance regime loudness
semidefinite H at caustic	DERIVED_CONDITIONAL	position rank loss	C undefined and global branch policy open
full phase across caustic	DERIVED_CONDITIONAL	registered G226 symplectic carry	physical populated branch open
fitted angular coefficient	ABSENT	entire G245 construction	no coefficient inferred
observational angular outcome	CLOSED_UNREAD	entire G245 construction	future held-out comparison
complete arbitrary two-observer reciprocal germ	OPEN	not claimed by G245	possible later cone-incidence construction
physical metric history	QUERY_SUPPLIED_NOT_SELECTED	input to theorem	global dynamics or admissibility remains open
