catch_id	corruption_or_overclaim	required_rejection
F01	copresence_promoted_to_instant_access	FAIL_G02_G18
F02	one_of_four_premise_stamps_deleted_or_changed	FAIL_G02
F03	parent_determinant_changed_or_zeroed	FAIL_G03_G05
F04	floating_approximation_replaces_exact_parent_determinant	FAIL_G03
F05	C0_or_C2_profile_topology_claimed_sufficient_for_curvature_gradient_continuity	FAIL_G04_G05
F06	nonzero_at_one_point_called_open_without_continuity	FAIL_G05
F07	constant_phi_called_nontrivial_depth	FAIL_G06_G11
F08	a_equals_zero_called_twist_selected_ruler	FAIL_G07_G12
F09	slice_margin_checked_only_at_certificate_event	FAIL_G08_G13
F10	open_gates_asserted_separately_without_product_intersection	FAIL_G10
F11	D_p_equals_zero_called_proof_of_intrinsic_clock_absence	FAIL_G14
F12	D_p_equals_zero_called_proof_of_extra_Killing_symmetry	FAIL_G14
F13	slice_boundary_called_complete_spacetime_singularity	FAIL_G15
F14	one_degeneration_stratum_omitted	FAIL_G15
F15	explicit_C3_radius_invented_without_derivative_bound	FAIL_G16
F16	open_neighborhood_called_generic_dense_or_measure_one	FAIL_G17
F17	open_neighborhood_called_on_shell_selected_stable_or_observed	FAIL_G17_G19
F18	lambda_or_profile_selected_from_six_passing_centers	FAIL_G17
F19	endpoint_path_or_operational_accessibility_selected	FAIL_G18
F20	action_carrier_source_density_bootstrap_mass_Xmax_or_dynamics_inferred	FAIL_G19
F21	production_module_imported_by_independent_verifier	FAIL_G20
F22	candidate_or_axis_added_removed_or_retuned_after_preregistration	PREREGISTRATION_FAILURE
