id	object	status	exact_scope	remaining_open
S01	copresence	WORKING_INTERPRETIVE_FRAME	whole_candidate_solution_reading	derivation_or_replacement
S02	metric_causal_structure	DERIVED_CONDITIONAL	Lorentzian_metric_cones	matter_signal_response
S03	instantaneous_operational_access	NOT_DERIVED	explicitly_excluded	complete_response_law
S04	complete_whole_solution_law	OPEN	not_supplied	action_or_global_admissibility
S05	parent_intrinsic_pair_centers	DERIVED_CONFIGURATION_EXISTENCE	C01_through_C06	physical_selection
S06	curvature_rank_neighborhoods	DERIVED_TOPOLOGICAL_OPENNESS	local_C3_neighborhood_at_each_center	explicit_radius_and_global_component
S07	depth_neighborhoods	DERIVED_TOPOLOGICAL_OPENNESS	local_C0_profile_neighborhood	global_component
S08	twist_ruler_neighborhoods	DERIVED_TOPOLOGICAL_OPENNESS	local_nonzero_a_neighborhood	physical_twist_selection
S09	positive_slice_neighborhoods	DERIVED_TOPOLOGICAL_OPENNESS	local_C0_profile_and_a_neighborhood	other_slicings_and_global_component
S10	global_coframe_neighborhoods	DERIVED_TOPOLOGICAL_OPENNESS	fixed_S3_Maurer_Cartan_family	alternative_topologies
S11	joint_intrinsic_pair_neighborhoods	DERIVED_CONFIGURATION_TOPOLOGY	all_six_centers_fixed_complete_family	density_genericity_and_on_shell selection
S12	D_p_zero_stratum	CERTIFICATE_DEGENERACY_ONLY	fixed_three_invariants_at_fixed_event	alternative_invariants_events_and_actual_symmetry
S13	explicit_joint_radius	OPEN	not_computed	quantitative_D_p_variation_bound
S14	generic_dense_or_measure_status	OPEN	not_inferred	global_configuration_space
S15	lambda_profile_twist_and_scale_selection	OPEN	local_deformations_only	whole_solution_selector
S16	endpoint_path_and_access_semantics	OPEN_OR_NOT_DERIVED	excluded	complete_comparison_and_response law
S17	action_boundary_carrier_source_density_bootstrap_mass_Xmax_dynamics	OPEN_OR_CONDITIONAL	outside_audit	complete_physics
S18	overall	VERIFIED_WITH_CAVEATS_LOCAL_CONFIGURATION_TOPOLOGY	exact_parent_fractions_continuity_proof_and_independent_reparse	no_external_model_or_on_shell selection
