catch_id	result	exercise
F01	PASS	instant_access_rejected
F02	PASS	stamp_loss_rejected
F03	PASS	zero_determinant_rejected
F04	PASS	float_evidence_rejected
F05	PASS	weak_topology_rejected
F06	PASS	missing_continuity_rejected
F07	PASS	constant_depth_rejected
F08	PASS	zero_twist_rejected
F09	PASS	missing_R_slice_dependence_rejected
F10	PASS	missing_intersection_rejected
F11	PASS	clock_no_go_rejected
F12	PASS	symmetry_overclaim_rejected
F13	PASS	singularity_overclaim_rejected
F14	PASS	missing_stratum_rejected
F15	PASS	invented_radius_rejected
F16	PASS	genericity_overclaim_rejected
F17	PASS	physical_selection_rejected
F18	PASS	lambda_selection_rejected
F19	PASS	semantic_selection_rejected
F20	PASS	physics_inference_rejected
F21	PASS	production_import_scanner_exercised
F22	PASS	axis_mutation_rejected
