gate_id	property	required_certificate
G01	source_integrity	17_of_17_manifest_replay
G02	premise_stamp_integrity	exact_four_copresence_and_causal_statuses
G03	parent_base_integrity	exact_six_C01_C06_nonzero_determinants
G04	declared_topology	C3_profile_product_parameter_topology
G05	curvature_rank_openness	D_p_continuous_and_nonzero_at_each_base
G06	depth_openness	osc_phi_continuous_and_strictly_positive
G07	twist_openness	a_times_kappa_continuous_and_nonzero
G08	slice_openness	compact_minimum_continuous_and_strictly_positive
G09	coframe_openness	smooth_finite_profile_and_positive_scale_neighborhood
G10	joint_neighborhood	finite_intersection_of_open_gate_sets
G11	exact_depth_margin	f_plus_e1_minus_f_minus_e1_equals_6
G12	exact_twist_margin	absolute_a_kappa_equals_one_over_32
G13	exact_slice_lower_bound	4015_over_331776_positive
G14	certificate_failure_scope	D_zero_not_called_intrinsic_clock_no_go
G15	degeneration_coverage	all_seven_registered_strata_reported
G16	no_explicit_radius_overclaim	curvature_rank_radius_left_uncertified
G17	no_genericity_or_selector_overclaim	open_neighborhood_not_called_physical_or_generic
G18	semantic_scope	no_signalling_endpoint_path_or_access_law_selected
G19	physics_scope	no_action_dynamics_carrier_source_density_bootstrap_mass_or_Xmax_inference
G20	independent_verification	no_production_import_and_all_catches_exercised
