premise	status	use	remaining_limit
founded_udt_metric_and_reciprocal_phi	DERIVED	background lineage only	does not select P4 response or boundary
PONDER_global_local_stability_closure	WORKING_HYPOTHESIS	motivates family-by-family audit only	not used in algebra and not confirmed by this tile
P4_response_and_joint_hessian	CONDITIONAL	defines tested local quadratic form	not selected as native UDT law
constants_BASE_census	OPEN_CONDITIONAL_DOMAIN	defines F01 realization family	no native realization selection
ell_equals_1	CHOSE	frozen normalization	travels with result
P1_aF_branches	CONDITIONAL_CARRIED	both have aFprime=2; finite nonzero aF scale separated	no physical aF selected
massive_crease_root	CONDITIONAL_BRANCH	all roots in s in (1,3) covered by uniqueness proof	no general non-crease member claim
R05_free_angular_traces	SUPPLIED_BRANCH_DOMAIN	one tested trace family	not selected physical boundary
R06_odd_zero_angular_traces	SUPPLIED_BRANCH_DOMAIN	second tested trace family	not selected physical boundary
p_other_end_Dirichlet_or_free_Robin	SUPPLIED_BRANCH_FORK	both tested separately	no transfer to other traces
germ_Hessian_flat_wall_response	CONDITIONAL_WITNESS	keeps frozen local response	unrestricted second wall germ open
reduced_field_R05_index_one	DERIVED_IN_FROZEN_CONDITIONAL_SCOPE	combined with positive Schur for joint index	depends on P4/domain premises
reduced_field_R06_core_positive	DERIVED_IN_FROZEN_CONDITIONAL_SCOPE	combined with negative witness and one-scalar codimension	depends on P4/domain premises
S2_carrier	NOT_USED	outside calculation	remains POSIT/open emergence
time_persistence	OPEN	not tested	no dynamical stability claim
native_action_boundary_matter_bootstrap	OPEN	not tested	no stability-hypothesis or matter claim
