item	status	role_or_guard
Universal Reciprocity or DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G310	not derived or canonized
quiet GR principal-response overlap	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G312	bounded response premise
Local Metric Sufficiency	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G312	bounded local finite-jet premise
trace-free Ricci equation	ACTIVE_BOUNDED_CONDITIONAL_EQUATION	registered local metric-only vacuum arena
Bianchi completion at Lambda zero	DERIVED_GEOMETRIC_IDENTITY	active equation equals Ric_ab=0 on connected G320 sector
standard local harmonic well-posedness	IMPORTED_MATHEMATICAL_METHOD__CONDITIONAL	G321 local-development input
Choquet-Bruhat--Geroch maximal Cauchy theorem	IMPORTED_MATHEMATICAL_METHOD__CONDITIONAL	not a UDT law proof or canon
G321 complete datum interface	EXTERNALLY_ACCEPTED_BOUNDED_CONDITIONAL	supplies smooth lawful data and local marked development
flat marked T3	CHOSE_BOUNDED_DIAGNOSTIC_SLICE	not selected physical topology
G320 positive integer mode family	FREE_AND_EXPLORED_CONTROL_FAMILY	countable lawful diagnostic family
n=1,2,3,4 and J0=100	FREE_AND_EXPLORED_FINITE_REPLAY	no physical wavelength scale or calibration
epsilon plus/minus	FREE_AND_EXPLORED_BRANCHES	time-reversed complete data retained
time orientation	CHOSE_THEOREM_CATEGORY_STRUCTURE	required to type future/past and reversal not a selected arrow
globally hyperbolic development	IMPORTED_MATHEMATICAL_DEFINITION	Sigma is a Cauchy surface
data-preserving isometric embedding	IMPORTED_MATHEMATICAL_DEFINITION	comparison morphism in development category
maximal globally hyperbolic development	IMPORTED_THEOREM_CONCLUSION	maximal only among globally hyperbolic developments of one datum
geodesic completeness singularity freedom stability	OPEN_NOT_ENTAILED	must not be inferred from maximality
arbitrary Lorentzian inextendibility	OPEN_NOT_ENTAILED	stronger than maximal globally hyperbolic
unmarked common-spacetime realization	OPEN_NOT_CLASSIFIED	different data may be different slices of one spacetime
physical data or history selection	OPEN_NOT_SELECTED	one maximal development per datum is not occupancy
source matter mass observation fit scale Xmax	OMITTED_OPEN	no import or calibration
metric reciprocal kernel angular interface	UNCHANGED	no construction change in G322
