claim	status
maximal_GH_exists_per_fixed_datum	CONDITIONAL_IMPORTED_THEOREM_CONSEQUENCE
every_same_datum_GH_development_embeds	CONDITIONAL_IMPORTED_THEOREM_CONSEQUENCE
same_datum_maximal_developments_isometric	CONDITIONAL_IMPORTED_THEOREM_CONSEQUENCE
geodesic_completeness	OPEN_NOT_ENTAILED
singularity_or_curvature_control	OPEN_NOT_ENTAILED
arbitrary_Lorentzian_inextendibility	OPEN_NOT_ENTAILED
stability	OPEN_NOT_TESTED
unmarked_cross_datum_spacetime_identity	OPEN_NOT_CLASSIFIED
physical_initial_data_occupancy	OPEN_NOT_SELECTED
metric_kernel_angular_interface	UNCHANGED
