path	role
LIVE.md	current authority and G322 gate
CURRENT_SCIENTIFIC_PREMISES.tsv	exact G321 premise ownership
startup_surface_g310_universal_reciprocity_refresh_2026-08-31/ADOPTION_RECORD.md	Universal Reciprocity owner adoption
startup_surface_g312_two_premise_adoption_refresh_2026-09-01/ADOPTION_RECORD.md	quiet-GR and Local Metric Sufficiency owner adoption
udt_g303_two_class_nonlinear_cauchy_data_classification_2026-08-30/EXACT_DERIVATION.md	fixed-Lambda equation and local theorem interface
udt_g315_conditional_cauchy_characteristic_data_interface_2026-09-01/EXACT_DERIVATION.md	constraints and complete data type
udt_g319_ratio_free_noncmc_constraint_descent_2026-09-01/EXACT_DERIVATION.md	regular smooth data reconstruction
udt_g320_g319_physical_initial_geometry_quotient_audit_2026-09-01/EXACT_DERIVATION.md	physical data quotient and Q_R mode separation
udt_g321_g320_local_cauchy_development_uniqueness_2026-09-01/EXACT_DERIVATION.md	local marked development input
udt_gr_lorentzian_relational_architecture_audit_2026-07-27/SOURCE_UNIVERSE.tsv	registered primary S09 theorem provenance
udt_gr_lorentzian_relational_architecture_audit_2026-07-27/SOURCE_VERIFICATION.tsv	bounded S09 theorem scope and limitations
