object	status	boundary
Universal Reciprocity or DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G310	not derived or canonized
quiet GR principal-response overlap	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G312	bounded response premise
Local Metric Sufficiency	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G312	bounded local response premise
trace-free Ricci equation	ACTIVE_BOUNDED_CONDITIONAL_EQUATION	becomes Ric=0 on connected G320 sector
G321 local marked development	EXTERNALLY_ACCEPTED_BOUNDED_CONDITIONAL	one local development per fixed complete datum
Choquet-Bruhat--Geroch theorem	IMPORTED_MATHEMATICAL_METHOD__CONDITIONAL	not a native UDT theorem
maximal globally hyperbolic development per datum	EXTERNALLY_ACCEPTED_CONDITIONAL__REPAIRS_R1_R2_ACCEPTED	one maximal globally hyperbolic marked development per fixed datum only
different modes as marked developments	DERIVED_CONDITIONAL	Q_R separates initial data
opposite K signs	DERIVED_TIME_REVERSED_DATA	not two futures from one datum
geodesic completeness	OPEN_NOT_ENTAILED	maximal GH does not imply it
singularity freedom or curvature bounds	OPEN_NOT_ENTAILED	maximal GH does not imply them
arbitrary Lorentzian inextendibility	OPEN_NOT_ENTAILED	non-GH extensions not classified
stability	OPEN_NOT_TESTED	no perturbative or nonlinear result
unmarked cross-datum realization	OPEN_NOT_CLASSIFIED	different Cauchy slices may share an unmarked spacetime
physical initial-data occupancy	OPEN_NOT_SELECTED	one maximal development per datum is not actualization
metric reciprocal kernel angular interface	UNCHANGED	no construction change
scale source matter mass observation Xmax	OPEN_NOT_IMPORTED	outside G322
