claim	status	basis	limit
original_hypothesis_lineage	P4_ALGEBRAIC_SPINE_PLUS_BROADER_STRUCTURAL_PONDER	H01-H06;D01-D10	ponder identifications not derivations
Hopfion_dependency	NOT_REQUIRED_FOR_FORMULATION_OR_P4_ALGEBRA	F01-F02;H04-H05;D01-D03;D07-D09	removal loses current object-inequivalent full-3D exemplar
P4_dependency	LOAD_BEARING_TO_ORIGINAL_JULY31_ALGEBRAIC_SPINE	A01-A06;H04-H05	P4 remains conditional formal response/census evidence
cross_family_architecture	SUPPORTED_CONDITIONALLY_NOT_UNIVERSALLY_DERIVED	F01-F04;H02-H03	P4 and Hopfion operators/configuration spaces differ
discrete_species_catalog	NOT_DERIVED_OR_OBSERVED	F01-F04;H03-H05;G02-G08	P4 threshold leaves a continuous sector; one conditional Hopf sector is not a particle spectrum
shared_metric_native_stability_operator	NOT_FOUND	P05-P11;G05-G09	no action/carrier/boundary transfer permitted
rings_and_empty_branches	STRUCTURAL_OR_EXISTENCE_PRUNING_NOT_STABILITY	F05-F06	do not count as stable basins
time_live_persistence	ZERO_OF_SEVEN_FAMILIES_DERIVED	G09;A09-A15	static/sector Hessians cannot promote
bootstrap_selection	ZERO_OF_SEVEN_FAMILIES_SELECTED	G10;A16-A18	bootstrap remains working distinct posit without membership law
overall	HYPOTHESIS_MULTI_FAMILY_SUPPORTED_NOT_DERIVED	F01-F07;H01-H08;G01-G10;D01-D14	conditional architecture only; no particle ontology or universal law
