premise_id	premise	status	usage_ceiling
P01	the metric is the theory	DERIVED_METHOD_RULE	native provenance requirement only
P02	founded reciprocal phi/clock-ruler structure	DERIVED_IN_REGISTERED_SCOPE	kinematic structure not a stability law
P03	observer-frame Reciprocity	DERIVED_NATURALITY_GATE	constrains supplied physical law only
P04	finite-cell construction	WORKING_SCOPED_DOMAIN_STRUCTURE	not a selected boundary or closure law
P05	P4 S-i second-variation results	DERIVED_CONDITIONAL	registered quadratic jet posture parity and wall-germ scopes only
P06	P4 S-ii second-variation results	DERIVED_CONDITIONAL	no-m-jet and jet-quadratic subclasses only
P07	round S2 carrier	POSIT	Hopfion comparison space only
P08	L2+L4 carrier functional	CONDITIONAL_CHOICE	Hopfion energetic stability only
P09	corrected no-null Hopfion finite-box stability	SETTLED_WITHIN_CONDITIONAL_PREMISES	not carrier emergence infinite volume or time persistence
P10	native time-live persistence	OPEN	must not be inferred from static or energetic stability
P11	complete native action/source/boundary	OPEN	must not be imported
P12	bootstrap global/local mutual determination	WORKING_DISTINCT_POSIT	not derived or adopted by parent audit
P13	bootstrap operational membership rule	OPEN	no selection claim
P14	unconditional native mass	OPEN	mass readouts remain premise-scoped
P15	July 31 ponder interpretations	PURE_PONDER	lineage evidence and conjecture only
P16	pre-July provenance firewall	BINDING	failure/counterexample use only
P17	P4 and Hopfion object identity	DISTINCT	method comparison does not transfer results
P18	cross-family universal stability grammar	OPEN	must be demonstrated not assumed
