anchor_id	path	sha256	role	ruling
A01	PONDER_MATH_ELEGANCE_2026-07-31.md	6d510c050f9c116e4c09e82f4edf6ac942bd64f95bb1476dc2196cae8e24c6b9	hypothesis origin	pure ponder; taxonomy-times-stable-basin conjecture, P4 threshold, ring and Hopf language separated by grade
A02	udt_p4_stability_slice_2026-07-30/AUDIT_REPORT.md	fd68aa8b1c1858358317e07d9415cb44792f2339938c1bd7d3ac8b74fecc9ae9	P4 conditional stability	Hopfion direction was method only; P4 mixed exact conditional outcomes
A03	udt_p4_stability_slice_2026-07-30/STABILITY_LEDGER.tsv	24daf5e06c789b5e27dad11416eb9d9cd95fe22bc8c971d86d1688fbb317f3f6	P4 family ledger	S-i, S-ii, massless controls, empty postures, and out-of-scope sectors typed separately
A04	udt_p4_stability_slice_2026-07-30/EXACT_DERIVATION.md	e1d1391dc3923aa6bfc1512df5c437fc9415f180c90d1f2e76861e91475f201e	P4 algebra	odd-pin reduced-core absorption and jet-sector threshold retain explicit scopes
A05	udt_p4_cold_adversarial_review_2026-08-01/AUDIT_REPORT.md	6f389c914007aff0b8eded3ffa02ba386a8c7b580235674b2bae51649991704c	P4 cold scope regrade	formal response/census program survives; fixed realized solution and full certificates remain open
A06	udt_p4_cold_review_repair_2026-08-01/CLOSURE_REPORT.md	31a2f717989299db69dd0ee5b63fc7575f5894a87297d0c7fc6058d722650cf8	P4 repair closure	presentation/provenance repairs closed without promoting physics
A07	udt_p4_period_gate_2026-07-30/AUDIT_REPORT.md	f977814725c0333c954c9ed24b72b802cc8891924f073deb05edf62a45b3a4d7	ring and completion	all-definite cyclic rings forced massless; one-cell cyclic massive empty; no real-target mass quantization
A08	udt_p4_period_gate_2026-07-30/PERIOD_LEDGER.tsv	0eb8866602abbbd04a3e2c4d2b20a6cc5d125dcaa101e0b051016f71542735b7	ring family ledger	cyclic, acyclic, quotient, massive, massless, and germ branches remain distinct
A09	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea	Hopfion scope	existing object is full 3D and static finite-box stable only under conditional carrier/action/boundary premises
A10	native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	de154fbb7787759864786c04186a26a4605c447d362112bb482acee064d457e4	Hopfion mechanical status	carrier is posit; physical boundary and time-live persistence open
A11	stability_branch_follow_256_DECISION.md	9806bc8f61b94109080699f00d8a758f1afc935db18a11f07dbe7365a61811d5	Hopfion numerical lineage	centered-operator instability retracted as Nyquist artifact; corrected result carries explicit criticality and finite-box history
A12	udt_stability_foundations_audit_2026-08-01/AUDIT_REPORT.md	65e13b80f7cae12e7bf0553c257d1f22fa4b80463198a88eebe653596a9e83d4	stability foundations	P4 and Hopfion are separate conditional streams; realization and persistence joins missing
A13	udt_stability_foundations_audit_2026-08-01/STABILITY_REQUIREMENT_MATRIX.tsv	2ac9eb59e08807b3c713c5a54203fe936c24e358076bddc4b1473bffe74643e0	stability notion separation	geometric, energetic/spectral, and bootstrap stability require different objects
A14	udt_stability_foundations_audit_2026-08-01/FIXED_REALIZATION_GATE.tsv	5dd531aea0adfb78aab84b246441513825ac07d81a6c7e0ee730f580f2ddbde9	joint realization gate	formal modules exist; common live on-shell field/equation/boundary remains open
A15	udt_stability_foundations_audit_2026-08-01/STATUS_LEDGER.tsv	d93964a670c8a6b8bce64cf993b953da83eb20d6e9aa7cf25707629293062898	current conditional statuses	P4 conditional, Hopfion conditional, native stability and bootstrap selection open
A16	udt_global_local_self_consistency_premise_audit_2026-08-01/AUDIT_REPORT.md	4b50da1d2d37dc07a1690a3659fd88da6eda0c701489802446597def0698e40e	bootstrap ceiling	bootstrap is a distinct unadopted posit in the frozen record, not a derived selection operation
A17	CURRENT_SCIENTIFIC_PREMISES.tsv	69342e40bc69cb89022efa8a3c68db63214040e3efe0f001278d995cd4c7ec0f	premise controller	carrier, action, boundary, native mass, and bootstrap operation retain controlling statuses
A18	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	70cab9d5e10b03e0e3418129b67155e01d9f805c4397c69ef8795c4d2aaa5dfd	action ceiling	complete action, source, boundary charge, and mass remain open
