path	git_blob	sha256	bytes	layer
AGENTS.md	c777d6f79bdea17c19c053518bd4107c1dca4af8	16d71c4f01f721d474354a436dcc1adecc48ab000d4fadf4e0479d60ad660714	21248	PARENT_PREMISE_AUDIT_SOURCE_UNIVERSE
CANON.md	ad53786250f6ec8a4740d9068e08d48e384999e3	f9ee32e2473b44407a813929e10547f66e378516e856697a7bca2226d9ef370b	36956	PARENT_PREMISE_AUDIT_SOURCE_UNIVERSE
CURRENT_SCIENTIFIC_PREMISES.md	1a25dc1d354e0065c527374767f11aa9d06d62de	63fe502793db25c9ddbf078c393fecc449d43648984d63504b49a4b9fbe72491	2493	PARENT_PREMISE_AUDIT_SOURCE_UNIVERSE
CURRENT_SCIENTIFIC_PREMISES.tsv	f923b077483c2d2ab5fde2697a6e63649d027dc6	69342e40bc69cb89022efa8a3c68db63214040e3efe0f001278d995cd4c7ec0f	6798	PARENT_PREMISE_AUDIT_SOURCE_UNIVERSE
F8_metric_choices_results.md	a149b70b473f875d5a3274b2775700ec613f2583	815f90c3c8a69158d021404065f31bd8f1ce892eb0e542f259c88a9c211b62d5	18907	PARENT_PREMISE_AUDIT_SOURCE_UNIVERSE
HANDOFF.md	adf26e828648da3fc9392265dbaf3b309b691755	2556ec6806d6cc5450ba1e8e8c4395052b3a118aa22ccbde552ed6526adc6d76	74875	PARENT_PREMISE_AUDIT_SOURCE_UNIVERSE
LIVE.md	992b19758337325a5827fd81bcdc0a9bac399134	4b939d62f741d185a5128837fcc053ef77457479f35a1e8cceb1c6181455a0ad	63060	PARENT_PREMISE_AUDIT_SOURCE_UNIVERSE
P4_ARC_SUMMARY_2026-07-31.md	b98f755290501a712731c124c6b4226631ebfb14	85f5b9e7ce6619ba0b286c71291a3eaee61779fcdb81980c0241d0e24a3b2bb8	14889	PARENT_PREMISE_AUDIT_SOURCE_UNIVERSE
PROVENANCE.md	2990e2054c8218381f3f1f944cca6c5784962194	90f2a0e73881e3a9de99802af8be75f820a9873b6d76d2baa82b1ad4e8d7d16c	5175	PARENT_PREMISE_AUDIT_SOURCE_UNIVERSE
UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	7c59d775e473df5ea0b59ec0c20312ac7fccfbee	db4a426b021e375fa4bca0d870aaf973de319de3b08072195d001a056630832d	11205	PARENT_PREMISE_AUDIT_SOURCE_UNIVERSE
UDT_NATIVE_ACTION_COLD_PACKET.md	dbe0292e446291cdc620abfb261447cb9f7d969f	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0	13221	PARENT_PREMISE_AUDIT_SOURCE_UNIVERSE
