family_id	component_id	component	status
F01	G01	DECLARED_CONFIGURATION_FAMILY	PRESENT_SCOPED
F01	G02	DISCRETE_TAXON_OR_BRANCH_LABEL	PRESENT_SUPPLIED
F01	G03	CONTINUOUS_PARAMETERS_OR_MODULI	PRESENT
F01	G04	NONEMPTY_STATIONARY_BACKGROUND	PRESENT_CONDITIONAL
F01	G05	SUPPLIED_RESPONSE_OR_FUNCTIONAL	PRESENT_CONDITIONAL
F01	G06	BOUNDARY_OR_COMPLETION_DOMAIN	PARTIAL_OPEN
F01	G07	EXACT_PRUNING_RESULT	PRESENT_CONDITIONAL
F01	G08	ISOLATED_STABLE_BASIN_IN_STATED_SCOPE	OPEN_FULL_CERTIFICATE
F01	G09	TIME_LIVE_PERSISTENCE	OPEN
F01	G10	BOOTSTRAP_SELECTION	ABSENT
F02	G01	DECLARED_CONFIGURATION_FAMILY	PRESENT_SCOPED
F02	G02	DISCRETE_TAXON_OR_BRANCH_LABEL	PRESENT_BRANCH
F02	G03	CONTINUOUS_PARAMETERS_OR_MODULI	PRESENT
F02	G04	NONEMPTY_STATIONARY_BACKGROUND	CONDITIONAL_CLASS
F02	G05	SUPPLIED_RESPONSE_OR_FUNCTIONAL	PRESENT_CONDITIONAL
F02	G06	BOUNDARY_OR_COMPLETION_DOMAIN	PARTIAL
F02	G07	EXACT_PRUNING_RESULT	PRESENT_SECTOR
F02	G08	ISOLATED_STABLE_BASIN_IN_STATED_SCOPE	PRESENT_SECTOR_ONLY
F02	G09	TIME_LIVE_PERSISTENCE	OPEN
F02	G10	BOOTSTRAP_SELECTION	ABSENT
F03	G01	DECLARED_CONFIGURATION_FAMILY	PRESENT_CONTROL
F03	G02	DISCRETE_TAXON_OR_BRANCH_LABEL	PRESENT_CONTROL
F03	G03	CONTINUOUS_PARAMETERS_OR_MODULI	PRESENT_FLAT
F03	G04	NONEMPTY_STATIONARY_BACKGROUND	PRESENT_CONTROL
F03	G05	SUPPLIED_RESPONSE_OR_FUNCTIONAL	PRESENT_CONDITIONAL
F03	G06	BOUNDARY_OR_COMPLETION_DOMAIN	PRESENT_CONTROL
F03	G07	EXACT_PRUNING_RESULT	PRESENT_CONTROL
F03	G08	ISOLATED_STABLE_BASIN_IN_STATED_SCOPE	ABSENT_PSD_DEGENERATE
F03	G09	TIME_LIVE_PERSISTENCE	OPEN
F03	G10	BOOTSTRAP_SELECTION	ABSENT
F04	G01	DECLARED_CONFIGURATION_FAMILY	PRESENT_CONDITIONAL
F04	G02	DISCRETE_TAXON_OR_BRANCH_LABEL	PRESENT_TOPOLOGICAL
F04	G03	CONTINUOUS_PARAMETERS_OR_MODULI	PRESENT
F04	G04	NONEMPTY_STATIONARY_BACKGROUND	OBSERVED_CONDITIONAL
F04	G05	SUPPLIED_RESPONSE_OR_FUNCTIONAL	PRESENT_CHOSEN
F04	G06	BOUNDARY_OR_COMPLETION_DOMAIN	SOLVER_ONLY_PHYSICAL_OPEN
F04	G07	EXACT_PRUNING_RESULT	PRESENT_CONDITIONAL
F04	G08	ISOLATED_STABLE_BASIN_IN_STATED_SCOPE	PRESENT_STATIC_FINITE_BOX_CONDITIONAL
F04	G09	TIME_LIVE_PERSISTENCE	OPEN
F04	G10	BOOTSTRAP_SELECTION	ABSENT
F05	G01	DECLARED_CONFIGURATION_FAMILY	PRESENT_SCOPED
F05	G02	DISCRETE_TAXON_OR_BRANCH_LABEL	PRESENT_COMPLETION
F05	G03	CONTINUOUS_PARAMETERS_OR_MODULI	PRESENT
F05	G04	NONEMPTY_STATIONARY_BACKGROUND	PRESENT_MASSLESS_CONDITIONAL
F05	G05	SUPPLIED_RESPONSE_OR_FUNCTIONAL	PRESENT_PERIOD_LAW
F05	G06	BOUNDARY_OR_COMPLETION_DOMAIN	PRESENT_SCOPED
F05	G07	EXACT_PRUNING_RESULT	PRESENT_EXISTENCE_MASS
F05	G08	ISOLATED_STABLE_BASIN_IN_STATED_SCOPE	NOT_TESTED
F05	G09	TIME_LIVE_PERSISTENCE	OPEN
F05	G10	BOOTSTRAP_SELECTION	ABSENT
F06	G01	DECLARED_CONFIGURATION_FAMILY	PRESENT_SCOPED
F06	G02	DISCRETE_TAXON_OR_BRANCH_LABEL	PRESENT_POSTURE
F06	G03	CONTINUOUS_PARAMETERS_OR_MODULI	ELIMINATED
F06	G04	NONEMPTY_STATIONARY_BACKGROUND	EMPTY
F06	G05	SUPPLIED_RESPONSE_OR_FUNCTIONAL	PRESENT_COMPLETION_LAW
F06	G06	BOUNDARY_OR_COMPLETION_DOMAIN	PRESENT_SCOPED
F06	G07	EXACT_PRUNING_RESULT	PRESENT_NONEXISTENCE
F06	G08	ISOLATED_STABLE_BASIN_IN_STATED_SCOPE	NOT_APPLICABLE
F06	G09	TIME_LIVE_PERSISTENCE	NOT_APPLICABLE
