catch_id	failure_class	result
C01	missing_correction02_source	REJECTED
C02	extra_correction02_source	REJECTED
C03	hidden_source_admission_correction	REJECTED
C04	missing_family	REJECTED
C05	duplicate_family	REJECTED
C06	duplicate_partition	REJECTED
C07	F01_F06_overlap	REJECTED
C08	Hopf_result_transfer	REJECTED
C09	P4_full_certificate	REJECTED
C10	F01_F06_branch_overlap	REJECTED
C11	sector_to_time	REJECTED
C12	control_to_survivor	REJECTED
C13	carrier_promotion	REJECTED
C14	Hopf_time_promotion	REJECTED
C15	ring_stability_smuggle	REJECTED
C16	empty_to_instability	REJECTED
C17	formal_to_realized	REJECTED
C18	taxonomy_promotion	REJECTED
C19	parity_scope_drop	REJECTED
C20	threshold_scope_drop	REJECTED
C21	sum_rule_selector	REJECTED
C22	Hopf_native_promotion	REJECTED
C23	bootstrap_promotion	REJECTED
C24	Hopf_time_grammar	REJECTED
C25	ring_basin_grammar	REJECTED
C26	empty_basin_grammar	REJECTED
C27	bootstrap_selection_grammar	REJECTED
C28	Hopf_deletion_kills_formulation	REJECTED
C29	Hopf_deletion_erases_P4	REJECTED
C30	P4_deletion_preserves_spine	REJECTED
C31	false_Hopf_dependency	REJECTED
C32	false_P4_transfer	REJECTED
C33	erase_P4_spine	REJECTED
C34	threshold_discretized	REJECTED
C35	species_catalog_promotion	REJECTED
C36	basin_spectrum_promotion	REJECTED
C37	family_overlap_retained	REJECTED
C38	correction_hidden	REJECTED
C39	shared_operator_smuggle	REJECTED
C40	time_promotion	REJECTED
C41	bootstrap_selection	REJECTED
C42	bootstrap_adoption	REJECTED
C43	solve_smuggle	REJECTED
C44	gpu_smuggle	REJECTED
C45	wrong_outcome	REJECTED
