id	claim	status	scope_or_limit
S01	P02_P03_point_local_atlas	IMMUTABLE_INPUT	all 89 discrete strata remain accounted
S02	assembly_axis_coverage	EXACT_PREREGISTERED_SCHEMA	12 of 12 axes represented
S03	reciprocal_G_F_transition_algebra	DERIVED_EXACT_CONDITIONAL_CLASS	constant real two-channel representation
S04	closed_identity_cocycle_reversal_parity	DERIVED_NECESSARY	odd F parity excluded; even parity not sufficient
S05	actual_cover_and_global_cocycle	OPEN	local group does not create cover incidence or class
S06	mixed_readout_family	DERIVED_CONDITIONAL_NONUNIQUE	mu=4 and mu=9 survive; full soldering unselected
S07	full_four_dimensional_transition_law	OPEN_UNENUMERATED	constant 2x2 results cannot be promoted
S08	static_phi_seal	PINNED_SCOPED	phi=0 delta_phi=0 normal derivative free
S09	complete_seal_lift	OPEN	four registered local lifts remain unselected
S10	boundary_variation_and_corner_polarization	OPEN	at least two inequivalent witnesses survive
S11	global_topology	OPEN_NONUNIQUE	p=0,1,3,5 general no-cap and other remainder retained
S12	topology_census_exhaustiveness	EXPLICITLY_NOT_CLAIMED	other unenumerated branch is mandatory
S13	global_signed_phi	OPEN	existence zero set and sign holonomy unproved
S14	degenerate_type_changing_or_singular_completion	OPEN_PRESERVED	regular inverse-metric tools do not erase it
S15	global_connection_torsion_holonomy	OPEN_BRANCH	Levi-Civita and independent connection branches separate
S16	global_physical_representative_scale_Xmax	OPEN_NOT_EVALUABLE	CSN and finite ontology do not select them
S17	mass_volume_density_bootstrap	OPEN_NOT_EVALUABLE	complete native matter-bearing solution absent
S18	local_C01_C07_global_extension	ALL_RETAINED_EXISTENCE_UNEVALUATED	zero branches globally proved or excluded
S19	dynamics_action_equation_and_merit	NOT_LOADED	P04 was not launched
S20	P03G_grade	LEAD_INDEPENDENT_REPLAY_FRESH_ADVERSARIAL_OPEN	bounded global assembly schema and exact existing compatibility; fresh-model review did not return
S21	maximum_conclusion	CURRENT_GLOBAL_KINEMATIC_ASSEMBLY_CONDITIONS_AND_OPEN_BRANCHES_CHARACTERIZED	no existence uniqueness selection topology dynamics or bootstrap closure
