id	object	domain	authority	status	source	open_or_limit
I01	P02_P03_local_configuration_atlas	POINT_LOCAL	FROZEN_PARENT	EXACT_INPUT	udt_founded_constraint_atlas_p03_2026-07-21/STATUS_LEDGER.tsv:S18	On-shell and global occurrence unevaluated
I02	local_field_realizations_C01_C07	POINT_LOCAL_TO_GLOBAL	FROZEN_PARENT	SEVEN_BRANCH_INPUT	udt_complete_metric_solution_space_map_2026-07-21/OFFSHELL_CONFIGURATION_BRANCHES.tsv	No branch has global existence proved
I03	reciprocal_transition_group_G_F	OVERLAPS	DERIVED_EXACT	COMPATIBILITY_INPUT	udt_global_coframe_cocycle_audit_2026-07-20/COCYCLE_CLASSIFICATION.tsv:C01-C07	Two-channel constant real class only
I04	cover_nerve_overlap_incidence	GLOBAL_CELL	NOT_SUPPLIED	OPEN_ASSEMBLY_DATA	udt_global_coframe_cocycle_audit_2026-07-20/STATUS_LEDGER.tsv:S08	Algebra does not generate a cover
I05	actual_transition_cocycle_and_global_Z2_class	GLOBAL_CELL	NOT_SUPPLIED	OPEN_ASSEMBLY_DATA	udt_global_coframe_cocycle_audit_2026-07-20/COCYCLE_CLASSIFICATION.tsv:C15	Even local cocycle parity does not select its global class
I06	CSN_local_representative_changes	OVERLAPS	FOUNDING_EQUIVALENCE	IDENTIFICATION_ONLY	udt_founded_constraint_atlas_p03_2026-07-21/CONSTRAINT_EFFECT_LEDGER.tsv:E06-E11	No physical or global representative selected
I07	global_signed_phi	GLOBAL_CELL	NOT_SUPPLIED	OPEN_ASSEMBLY_DATA	udt_founded_constraint_atlas_p03_2026-07-21/REALIZATION_BRANCHES.tsv:B05	Existence zero set and sign holonomy unproved
I08	full_four_dimensional_coframe_soldering	OVERLAPS_AND_CELL	CONDITIONAL	OPEN_ASSEMBLY_DATA	udt_founded_constraint_atlas_p03_2026-07-21/STATUS_LEDGER.tsv:S05	Two-channel character does not select a full coframe map
I09	static_phi_seal_wire	STATIC_SEAL	PINNED_SCOPED	PHI_ZERO_DELTA_PHI_ZERO_NORMAL_JET_FREE	finite_cell_seal_boundary_phase_join_2026-07-20/STATUS_LEDGER.tsv:S02-S04	One scalar wire only
I10	complete_seal_lift_and_boundary_polarization	SEAL_AND_CORNERS	NOT_SUPPLIED	OPEN_ASSEMBLY_DATA	udt_complete_seal_fixed_set_selector_audit_2026-07-21/STATUS_LEDGER.tsv:F16-F17	Four local lift classes and multiple variations survive
I11	topology_caps_periods_quotient_no_cap	GLOBAL_CELL	NOT_SUPPLIED	OPEN_ASSEMBLY_DATA	udt_global_coframe_cocycle_audit_2026-07-20/COCYCLE_CLASSIFICATION.tsv:C14-C15	Bounded witnesses are nonexhaustive
I12	regular_degenerate_type_changing_completion	GLOBAL_CELL	PRESERVED_PARENT_BRANCHES	OPEN_ASSEMBLY_DATA	udt_founded_constraint_atlas_p03_2026-07-21/COMPLETENESS_SCOPE.tsv:1_FIELDS;4_DOMAIN_COORDINATES	Inverse-metric diagnostics do not cover degeneracies
I13	connection_and_torsion	GLOBAL_CELL	CONDITIONAL_BRANCH	OPEN_ASSEMBLY_DATA	udt_complete_metric_solution_space_map_2026-07-21/OFFSHELL_CONFIGURATION_BRANCHES.tsv:C07	Levi-Civita and independent-connection branches remain separate
I14	physical_representative_scale_Xmax	COMPLETE_CELL	OPEN_GLOBAL_OUTPUT	NOT_EVALUABLE	udt_founded_constraint_atlas_p03_2026-07-21/CONSTRAINT_EFFECT_LEDGER.tsv:E21	No supplied local ruler or physical section
I15	mass_volume_density_bootstrap	COMPLETE_MATTER_BEARING_SOLUTION	WORKING_GLOBAL_ADMISSIBILITY	NOT_EVALUABLE	udt_founded_constraint_atlas_p03_2026-07-21/CONSTRAINT_EFFECT_LEDGER.tsv:E22	Native mass volume stability and solution do not exist yet
I16	action_equation_source_carrier_merit	DYNAMICS	EXCLUDED	NOT_LOADED	udt_founded_constraint_atlas_p03_2026-07-21/CONSTRAINT_EFFECT_LEDGER.tsv:E24	P04 not launched
