source_id	path	sha256	first_commit	first_date	last_commit	last_date	role	adjudication
S01	SIMPLE_METRIC_MACRO.md	f0c045abf9810dc327d249d0df385cd7e8d6914eedfaf5b31c78d186eaa13d44	b5622bd	2026-07-09	b5622bd	2026-07-09	metric_definition	LOAD_BEARING_WRL_SLICE
S02	CANON.md	5d99c0ba09fcee0429a34ac6b3dda4faff489b7d214b622fcbd286deb3785314	161325a	2026-06-10	564ac41	2026-07-09	status_authority	LOAD_BEARING_WRL_AND_SCOPE_APPENDICES
S03	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	af6bcc49535fd9cf4c8a60e997935d10619f2d52d146482ee40ad9d968f76810	7983748	2026-07-19	f571842	2026-07-20	current_frontier	WRL_UNIQUE_CONDITIONAL_GLOBAL_SELECTION_OPEN
S04	asymptotic_boundary_lineage_audit_2026-07-19/AUDIT_REPORT.md	bf10dc2d525e26723ee2eb2eaacf368ad8546e76b0a8d3ba0d3baa0b9639d11d	ad9e9bd	2026-07-19	ad9e9bd	2026-07-19	boundary_audit	REGULAR_NULL_HORIZON_AND_CROSSING_LOAD_BEARING
S05	udt_xmax_dilation_asymptote_correction_2026-07-23/AUDIT_REPORT.md	fd3d99c357d158021151e12013158da13b0a4c30940bcec4c60f3cc7b7277164	e972937	2026-07-23	e972937	2026-07-23	correction	XMAX_OWNER_SEMANTICS_AND_WRL_PROFILE
S06	udt_xmax_dilation_asymptote_correction_2026-07-23/STATUS_LEDGER.tsv	97d51fcc3db1e2521332f1c8476f65111865903991cc1a109c02a3d15c8984cd	e972937	2026-07-23	e972937	2026-07-23	correction_status	LOAD_BEARING_STATUS
S07	xmax_full_frame_realization_2026-07-19/AUDIT_REPORT.md	01b4e7e4c1c2fabd983a98e227073d7b57e9df46816938ed2440ad714f2275d4	14d3387	2026-07-19	14d3387	2026-07-19	prior_frame	CONDITIONAL_DIFFERENT_METRIC_FAMILY
S08	xmax_dynamic_observer_frame_2026-07-19/AUDIT_REPORT.md	3c23d222c94fc2bd219d188803bfd2174d38cb88809a273d0a303351267d0d2c	9f12b97	2026-07-19	9f12b97	2026-07-19	prior_dynamic_frame	CONDITIONAL_DIFFERENT_METRIC_FAMILY
S09	xmax_accelerating_finite_cell_cartan_2026-07-19/AUDIT_REPORT.md	bfcaaa7bfa0b9455c32f39ebbed38f8f166c097fd375e4c265f956e5df6799e8	85f94e1	2026-07-19	85f94e1	2026-07-19	prior_Cartan	FRAME_CURVATURE_LESSON_RETAINED_FAMILY_NOT_WRL
S10	copresence_causal_accessibility_selector_2026-07-19/DERIVATION_REPORT.md	5f3d9472388e9012af2b63d548bfbf91808a800b016d6c8e31be85dea6c2e2f0	b083dee	2026-07-19	b083dee	2026-07-19	causal_selector	METRIC_CONE_DISTINCTION_RETAINED
S11	udt_two_frame_regime_metric_limit_audit_2026-07-22/AUDIT_REPORT.md	cadc315cbb88fd3b418accada7b075f42883ec1c8ad3f4ac3ab98c7419ae1f8f	5457a36	2026-07-22	5457a36	2026-07-22	regime_limit	LOCAL_ORTHONORMAL_C_RETAINED
S12	udt_temporal_soldering_atlas_2026-07-22/AUDIT_REPORT.md	85a568a215161e2f827ae5014dcf5a7d40f98c2697ea00a93ecff25171a16f3e	03e0e94	2026-07-22	03e0e94	2026-07-22	temporal_atlas	LOCAL_LINE_BRANCHES_CONTEXT_ONLY
S13	udt_phi_causal_interface_atlas_2026-07-22/AUDIT_REPORT.md	fbfced171bcb77377a850fc4562c3aff06df9f732c9ccc176faf37753325e2ec	adf8f92	2026-07-22	adf8f92	2026-07-22	causal_atlas	PHI_CAUSAL_BRANCHES_CONTEXT_ONLY
S14	metric_cartan_holonomy_audit_2026-07-19/AUDIT_REPORT.md	ce76d6236b78a2c70fb47c17740ea07949d5845b2065683905dc3218a3a0fbbc	35a7423	2026-07-19	35a7423	2026-07-19	Cartan_baseline	LOCAL_FRAME_COVARIANCE_CONTEXT
