premise_id	object	status	enters	held_out
P01	c_E	OBSERVED_FOUNDING_ANCHOR	metric_clock_ruler_units	value_not_set_to_one
P02	reciprocal_static_metric	THEORY_IN_STATIC_SPHERICAL_SLICE	causal_algebra	other_metric_branches
P03	A_equals_one_minus_r_over_X	DERIVED_CONDITIONAL_WRL	exact_profile	bare_metric_overclaim
P04	recorded_X_equals_global_Xmax	OPEN_WITH_OWNER_WORKING_IDENTIFICATION	semantic_test	global_selection
P05	common_Xmax_for_ordinary_frames	OWNER_LOCKED_WORKING_POSTULATE	consistency_target	canonization
P06	observer_is_unit_timelike_frame	PINNED_BY_METRIC_DEFINITION	frame_class	force_or_geodesic_law
P07	eta_of_t_r	FREE_AND_EXPLORED	all_smooth_finite_local_rapidities	selected_trajectory
P08	round_areal_angular_block	PINNED_BY_RECORDED_SLICE	spectator_in_radial_test	Hopf_carrier
P09	global_boundary_or_extension	OPEN	crossing_classification	terminal_or_quotient_choice
P10	action_source_mass_charge	OPEN_NOT_USED	none	imported_dynamics
P11	static_Killing_field	DERIVED_IN_RECORDED_BRANCH	horizon_norm	global_preferred_frame
P12	Cartan_metric_compatibility	DERIVED_FROM_COFRAME	connection_transformation	observer_mechanics
