gate_id	result	proof_class	mutation_or_failure	controlling_predicate	exception
F01	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	inherited_candidate_missing_duplicate_or_changed	candidate_count	AssertionError
F02	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	parent_candidate_or_source_hash_mismatch	source_hash	AssertionError
F03	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	new_profile_point_lambda_a_or_epsilon_added_after_outcome	scope_fixed	AssertionError
F04	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	intrinsic_analysis_assigned_to_C14_C15_or_C18	blocked_controls	AssertionError
F05	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	configuration_control_called_intrinsic	config_not_intrinsic	AssertionError
F06	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	alpha_or_beta_has_unreported_T_component	stationary	AssertionError
F07	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	W_not_equal_W_HH_plus_W_SH	decomposition	AssertionError
F08	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	pair_pair_component_or_iT_W_nonzero_without_regrade	spatial	AssertionError
F09	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	Hodge_dual_formula_or_orientation_sign_mismatch	hodge	AssertionError
F10	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	orientation_or_T_S_N_sign_changes_Pi_W	sign_invariant	AssertionError
F11	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	iN_W_nonzero_on_registered_nonzero_candidate	kernel	AssertionError
F12	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	nonzero_W_assigned_kernel_dimension_other_than_two	rank_nonzero	AssertionError
F13	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	zero_W_assigned_a_unique_kernel_line	zero_no_line	AssertionError
F14	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	decomposable_nonzero_two_form_called_matrix_rank_one	rank_language	AssertionError
F15	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	ruler_aligned_screen_contained_and_generic_mixed_not_disjoint	type_disjoint	AssertionError
F16	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	nonzero_intrinsic_point_falls_into_no_line_type	type_exhaustive	AssertionError
F17	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	component_index_convention_guessed_not_derived	indices_derived	AssertionError
F18	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	screen_coframe_rotation_changes_line_type	screen_gauge	AssertionError
F19	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	shear_or_lambda_claimed_to_change_ZW_without_exact_formula	shear_provenance	AssertionError
F20	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	a_or_orientation_claimed_to_change_ZW	a_orientation_invariance	AssertionError
F21	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	positive_denominator_zero_treated_as_geometric_locus	positive_denominator	AssertionError
F22	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	zero_locus_claim_not_exhaustive_on_unit_S3	zero_exhaustive	AssertionError
F23	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	connected_component_count_inferred_from_samples_or_plot	topology_exact	AssertionError
F24	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	projective_line_extended_by_canceling_factor_without_path_limit_test	extension_path_tested	AssertionError
F25	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	path_dependent_or_multivalued_limit_called_unique_extension	extension_honest	AssertionError
F26	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	singular_intersection_silently_removed	singular_retained	AssertionError
F27	CAUGHT	SEMANTIC_SCOPE_GUARD	one_profile_per_mode_called_full_smooth_GL2_space	bounded_family	AssertionError
F28	CAUGHT	SEMANTIC_SCOPE_GUARD	stationary_result_promoted_to_time_live_or_on_shell	stationary_offshell	AssertionError
F29	CAUGHT	SEMANTIC_SCOPE_GUARD	carrier_Hopf_section_or_preferred_direction_inferred	no_carrier	AssertionError
F30	CAUGHT	SEMANTIC_SCOPE_GUARD	action_source_boundary_density_bootstrap_Xmax_matter_mass_or_stability_inferred	no_downstream_physics	AssertionError
F31	CAUGHT	SEMANTIC_SCOPE_GUARD	GPU_fit_relaxation_or_outcome_retuning_used	cpu_no_retune	AssertionError
F32	CAUGHT	EVIDENCE_BACKED_SEMANTIC_GUARD	production_and_independent_routes_share_load_bearing_functions	fresh_independence_required	AssertionError
