object	status	exact_scope	open_scope
intrinsic_two_form	DERIVED_ON_SIX_REGISTERED_BRANCHES	dPhi_contact_wedge_dSigma_contact_equals_du_wedge_dV_over_2uV	other_profiles_time_live_on_shell_selection
dual_coframe	DERIVED_EXACT	global_Maurer_Cartan_dual_fields_on_registered_S3	other_completions
zero_locus	DERIVED_EXACT	q3_equator_union_three_great_circles_for_registered_u_V	other_profiles_and_completions
nonzero_domain_components	DERIVED_EXACT	exactly_two_for_registered_profile	other_profiles
Hodge_kernel_line	DERIVED_ON_NONZERO_LOCUS	Nflat_star_Tflat_wedge_W_and_kernel_span_T_N	global_line_through_defects
ruler_aligned_locus	OBSERVED_EXACT_EMPTY	all_six_registered_intrinsic_nonzero_candidates	arbitrary_smooth_profiles
screen_contained_locus	OBSERVED_EXACT_NONEMPTY	exact_projective_witness_and_full_semialgebraic_locus	physical_role
generic_mixed_locus	OBSERVED_EXACT_NONEMPTY	exact_projective_witness_and_open_locus	physical_role
projective_equator_extension	DERIVED_EXACT	unique_across_equator_away_from_six_axis_points	other_zero_sheets
projective_circle_extension	OBSERVED_EXACT_OBSTRUCTED	path_dependent_on_three_great_circles_including_shared_poles	defect_indices_and_transport
candidate_census	VERIFIED_BOUNDED	9_zero_6_multi_type_2_blocked_1_degenerate	full_metric_solution_space
screen_shears_and_lambda	CHOSE_AND_EXPLORED	frozen_parent_candidates	physical_values_or_selection
stationarity_and_S3_completion	CHOSE_EXISTENCE_CONTROL	bounded_off_shell_cell	time_live_and_other_completions
carrier_or_Hopf_section	OPEN_NOT_DERIVED	no_role_in_audit	emergence_or_selection
action_source_boundary_density_bootstrap_Xmax	OPEN_OR_CONDITIONAL	no_role_in_audit	complete_UDT_closure
matter_mass_stability_phenomenology	OPEN_OR_PREMISE_SCOPED	no_new_claim_from_audit	downstream_physics
canonization	NOT_AUTHORIZED	Charles_decides	all_canonical_status
