object_id	object	question	maximum_status
O01	alpha_dPhi	is_the_depth_one_form_intrinsic_on_each_gated_branch	METRIC_ONE_FORM_ON_GATED_BRANCH
O02	beta_dSigma	is_the_screen_area_one_form_intrinsic_on_each_gated_branch	METRIC_ONE_FORM_ON_GATED_BRANCH
O03	W_depth_area	what_is_the_intrinsic_two_form_and_its_rank	METRIC_TWO_FORM_ON_GATED_BRANCH
O04	time_contraction	does_iT_W_vanish_exactly	DERIVED_IDENTITY_OR_COUNTEREXAMPLE
O05	ruler_contraction	what_screen_one_form_is_iS_W	DERIVED_COMPONENT
O06	W_HH	what_is_the_screen_screen_component	DERIVED_COMPONENT
O07	W_SH	what_is_the_ruler_screen_component	DERIVED_COMPONENT
O08	component_norms	where_do_W_HH_and_W_SH_vanish	EXACT_STRATUM_ATLAS
O09	N_flat	what_is_star_Tflat_wedge_W	ORIENTATION_LOCAL_ONE_FORM
O10	N_norm	where_is_the_dual_spacelike_zero_or_undefined	METRIC_SCALAR_ON_GATED_BRANCH
O11	full_kernel	what_is_ker_W_in_four_dimensions	EXACT_DISTRIBUTION
O12	spatial_kernel_line	what_is_the_nonzero_spatial_kernel	METRIC_LINE_ON_NONZERO_LOCUS
O13	dual_line_projector	is_N_tensor_N_over_norm_metric_intrinsic	METRIC_PROJECTOR_ON_NONZERO_LOCUS
O14	ruler_aligned_locus	where_does_LW_equal_LS	EXACT_LOCUS_OR_OPEN
O15	screen_contained_locus	where_does_LW_lie_in_H	EXACT_LOCUS_OR_OPEN
O16	generic_mixed_locus	where_does_LW_have_both_components	EXACT_LOCUS_OR_OPEN
O17	zero_locus	what_is_the_complete_ZW_on_S3	EXACT_LOCUS_OR_OPEN
O18	type_transition_loci	how_do_nonzero_types_meet_zero_and_each_other	EXACT_ATLAS_OR_OPEN
O19	complement_components	how_many_components_has_S3_minus_ZW	EXACT_COUNT_OR_OPEN
O20	projective_continuation	where_does_the_line_extend_path_independently	EXACT_EXTENSION_OBSTRUCTION_OR_OPEN
O21	symmetry_enhanced_control	what_remains_at_C14	CONFIGURATION_ONLY_BLOCKED
O22	twist_free_control	what_remains_at_C15	CONFIGURATION_ONLY_BLOCKED
O23	degenerate_control	what_remains_at_C18	METRIC_DEGENERATE
O24	carrier_or_section_interpretation	does_the_line_select_a_physical_carrier	OPEN_NOT_INFERRED
