premise_id	choice_or_object	status	role	not_supplied
P01	foundational_reciprocal_pair_action	pinned-by-THEORY:CURRENT_SCIENTIFIC_PREMISES_G01_G02	interpretation_guard	complete_embedding_or_dynamics
P02	parent_intrinsic_pair_projector	pinned-by-THEORY:614c6b22	metric_projector_input	universal_or_on_shell_selection
P03	parent_18_candidate_ensemble	pinned-by-THEORY:a8c7c8f8_candidate_hash	complete_inherited_bound	arbitrary_smooth_screen_space
P04	stationarity	CHOSE_EXISTENCE_CONTROL	makes_T_Killing_and_scalars_time_independent	time_live_metrics
P05	S3_completion	CHOSE_EXISTENCE_CONTROL	global_compact_cell	unique_physical_topology
P06	primary_u_V_profiles_epsilon_one_tenth	free-and-explored:FROZEN_PARENT_PROFILES	bounded_exact_configuration	profile_or_equation_selection
P07	lambda_minus1_0_plus1_and_a_controls	free-and-explored:FROZEN_PARENT_CONTROLS	trace_and_causal_census	physical_parameter_values
P08	cE_R_equal_one	pinned-by-HABIT:existence_units	configuration_normalization	physical_scale_selection
P09	orientation	free_and_reversed	Hodge_sign_control	preferred_orientation
P10	T_S_N_representative_signs	free_and_reversed	line_projector_controls	preferred_line_orientation
P11	Maurer_Cartan_coframe	pinned-by-THEORY:frozen_unit_quaternion_convention	exact_global_algebra	alternative_completion_or_coframe_selection
P12	Hodge_star_and_Levi_Civita_metric	pinned-by-THEORY:registered_metric	metric_dualization	additional_connection_or_action
P13	seven_stereographic_points	pinned-by-HABIT:preregistered_cross_checks	non_authoritative_regression	global_exhaustion_by_samples
P14	exact_polynomial_and_ideal_analysis	pinned-by-THEORY:algebraic_method	global_locus_route	physical_acceptance_filter
P15	carrier_Hopf_section	OPEN_EXCLUDED	interpretation_guard	emergence_or_selection
P16	action_source_boundary_density_bootstrap_Xmax_matter_mass_stability	OPEN_OR_CONDITIONAL:EXCLUDED	no_role	downstream_physics
P17	GPU_ODE_PDE_relaxation_fitting	EXCLUDED	exact_CPU_audit_only	numerical_solution_search
