candidate_id	label	intrinsic_scope	distribution_status	zero_locus	ruler_aligned_locus	screen_contained_locus	generic_mixed_locus	kernel_status	projective_extension	selected_or_physical
C01	parent_lambda_minus1	ZERO_CONTROL	ZERO	ALL_S3	EMPTY	EMPTY	EMPTY	DIM4_EVERYWHERE_NO_UNIQUE_LINE	NO_LINE_TO_EXTEND	NO
C02	parent_lambda_zero	ZERO_CONTROL	ZERO	ALL_S3	EMPTY	EMPTY	EMPTY	DIM4_EVERYWHERE_NO_UNIQUE_LINE	NO_LINE_TO_EXTEND	NO
C03	parent_lambda_plus1	ZERO_CONTROL	ZERO	ALL_S3	EMPTY	EMPTY	EMPTY	DIM4_EVERYWHERE_NO_UNIQUE_LINE	NO_LINE_TO_EXTEND	NO
C04	area_only	FULL_DISTRIBUTION	MULTIPLE_NONZERO_TYPES_ON_DIFFERENT_LOCI	EQUATOR_S2_UNION_C03_C13_C23	EMPTY_EXACT	NONEMPTY_F12_ZERO_MINUS_ZW	NONEMPTY_COMPLEMENT_OF_F12_ZERO_AND_ZW	DIM2_SPAN_T_N_ON_NONZERO__DIM4_ON_ZERO	EXTENDS_EQUATOR_MINUS_SIX_AXIS_POINTS__FAILS_THREE_GREAT_CIRCLES	NO
C05	diagonal_shear_only	ZERO_CONTROL	ZERO	ALL_S3	EMPTY	EMPTY	EMPTY	DIM4_EVERYWHERE_NO_UNIQUE_LINE	NO_LINE_TO_EXTEND	NO
C06	offdiagonal_shear_only	ZERO_CONTROL	ZERO	ALL_S3	EMPTY	EMPTY	EMPTY	DIM4_EVERYWHERE_NO_UNIQUE_LINE	NO_LINE_TO_EXTEND	NO
C07	both_shears	ZERO_CONTROL	ZERO	ALL_S3	EMPTY	EMPTY	EMPTY	DIM4_EVERYWHERE_NO_UNIQUE_LINE	NO_LINE_TO_EXTEND	NO
C08	full_area_both_shears_lambda_zero	FULL_DISTRIBUTION	MULTIPLE_NONZERO_TYPES_ON_DIFFERENT_LOCI	EQUATOR_S2_UNION_C03_C13_C23	EMPTY_EXACT	NONEMPTY_F12_ZERO_MINUS_ZW	NONEMPTY_COMPLEMENT_OF_F12_ZERO_AND_ZW	DIM2_SPAN_T_N_ON_NONZERO__DIM4_ON_ZERO	EXTENDS_EQUATOR_MINUS_SIX_AXIS_POINTS__FAILS_THREE_GREAT_CIRCLES	NO
C09	full_area_both_shears_lambda_minus1	FULL_DISTRIBUTION	MULTIPLE_NONZERO_TYPES_ON_DIFFERENT_LOCI	EQUATOR_S2_UNION_C03_C13_C23	EMPTY_EXACT	NONEMPTY_F12_ZERO_MINUS_ZW	NONEMPTY_COMPLEMENT_OF_F12_ZERO_AND_ZW	DIM2_SPAN_T_N_ON_NONZERO__DIM4_ON_ZERO	EXTENDS_EQUATOR_MINUS_SIX_AXIS_POINTS__FAILS_THREE_GREAT_CIRCLES	NO
C10	full_area_both_shears_lambda_plus1	FULL_DISTRIBUTION	MULTIPLE_NONZERO_TYPES_ON_DIFFERENT_LOCI	EQUATOR_S2_UNION_C03_C13_C23	EMPTY_EXACT	NONEMPTY_F12_ZERO_MINUS_ZW	NONEMPTY_COMPLEMENT_OF_F12_ZERO_AND_ZW	DIM2_SPAN_T_N_ON_NONZERO__DIM4_ON_ZERO	EXTENDS_EQUATOR_MINUS_SIX_AXIS_POINTS__FAILS_THREE_GREAT_CIRCLES	NO
C11	slaved_area_both_shears	ZERO_CONTROL	ZERO	ALL_S3	EMPTY	EMPTY	EMPTY	DIM4_EVERYWHERE_NO_UNIQUE_LINE	NO_LINE_TO_EXTEND	NO
C12	constant_area_both_shears	ZERO_CONTROL	ZERO	ALL_S3	EMPTY	EMPTY	EMPTY	DIM4_EVERYWHERE_NO_UNIQUE_LINE	NO_LINE_TO_EXTEND	NO
C13	constant_depth_full_screen	ZERO_CONTROL	ZERO	ALL_S3	EMPTY	EMPTY	EMPTY	DIM4_EVERYWHERE_NO_UNIQUE_LINE	NO_LINE_TO_EXTEND	NO
C14	homogeneous_control	CONFIGURATION_CONTROL_ONLY	PROJECTOR_BLOCKED	CONFIGURATION_ONLY_NOT_INTRINSIC	NOT_ASSIGNED	NOT_ASSIGNED	NOT_ASSIGNED	NOT_INTRINSICALLY_ASSIGNED	NOT_INTRINSICALLY_ASSIGNED	NO
C15	twist_free_full_screen	CONFIGURATION_CONTROL_ONLY	PROJECTOR_BLOCKED	CONFIGURATION_ONLY_NOT_INTRINSIC	NOT_ASSIGNED	NOT_ASSIGNED	NOT_ASSIGNED	NOT_INTRINSICALLY_ASSIGNED	NOT_INTRINSICALLY_ASSIGNED	NO
C16	slice_null_endpoint_full_screen	FULL_DISTRIBUTION	MULTIPLE_NONZERO_TYPES_ON_DIFFERENT_LOCI	EQUATOR_S2_UNION_C03_C13_C23	EMPTY_EXACT	NONEMPTY_F12_ZERO_MINUS_ZW	NONEMPTY_COMPLEMENT_OF_F12_ZERO_AND_ZW	DIM2_SPAN_T_N_ON_NONZERO__DIM4_ON_ZERO	EXTENDS_EQUATOR_MINUS_SIX_AXIS_POINTS__FAILS_THREE_GREAT_CIRCLES	NO
C17	slice_sign_changing_full_screen	FULL_DISTRIBUTION	MULTIPLE_NONZERO_TYPES_ON_DIFFERENT_LOCI	EQUATOR_S2_UNION_C03_C13_C23	EMPTY_EXACT	NONEMPTY_F12_ZERO_MINUS_ZW	NONEMPTY_COMPLEMENT_OF_F12_ZERO_AND_ZW	DIM2_SPAN_T_N_ON_NONZERO__DIM4_ON_ZERO	EXTENDS_EQUATOR_MINUS_SIX_AXIS_POINTS__FAILS_THREE_GREAT_CIRCLES	NO
